"Ingenuity Canonical Pathways","-log(p-value)","Ratio","z-score","Molecules","...6","Cell_Type"
"Glutamine Biosynthesis I",2.32,1,NA,"GLUL",NA,"vcapEC"
"Neurotransmitter uptake and metabolism In glial cells",1.72,0.25,NA,"GLUL",NA,"vcapEC"
"Glutamate and glutamine metabolism",1.18,0.0714,NA,"GLUL",NA,"vcapEC"
"GABA synthesis, release, reuptake and degradation",1.05,0.0526,NA,"HSPA8",NA,"vcapEC"
"RORA activates gene expression",4.06,0.389,-2.646,"CHD9,MED1,NCOA1,NCOA2,RORA,TBL1X,TBL1XR1",NA,"vcapEC"
"Regulation of TP53 Activity through Association with Co-factors",1.96,0.286,-2,"AKT2,AKT3,PPP1R13B,TP53",NA,"vcapEC"
"Dolichyl-diphosphooligosaccharide Biosynthesis",1.5,0.273,NA,"ALG6,DPAGT1,DPM1",NA,"vcapEC"
"Citrulline-Nitric Oxide Cycle",1.42,0.4,NA,"NOS2,NOS3",NA,"vcapEC"
"Acetate Conversion to Acetyl-CoA",1.42,0.4,NA,"ACSL1,DIP2A",NA,"vcapEC"
"Cleavage and Polyadenylation of Pre-mRNA",1.31,0.231,NA,"CPSF3,CPSF6,WDR33",NA,"vcapEC"
"Thiamin Salvage III",1.18,1,NA,"TPK1",NA,"vcapEC"
"Assembly of RNA Polymerase III Complex",1.15,0.2,NA,"GTF3C1,GTF3C5,SF3A1",NA,"vcapEC"
"Superpathway of Citrulline Metabolism",1.08,0.188,NA,"GLS,NOS2,NOS3",NA,"vcapEC"
"DNA Damage Reversal",1.03,0.25,NA,"ALKBH3,ASCC3",NA,"vcapEC"
"Miro GTPase Cycle",1.03,0.25,NA,"RAP1GDS1,TRAK1",NA,"vcapEC"
"SUMOylation of ubiquitinylation proteins",0.995,0.132,-2.236,"NUP153,NUP160,NUP98,PIAS1,PIAS2",NA,"vcapEC"
"Glyoxylate metabolism and glycine degradation",0.966,0.143,-2,"ALDH4A1,DLAT,GCSH,OGDH",NA,"vcapEC"
"All-trans-decaprenyl Diphosphate Biosynthesis",0.896,0.5,NA,"PDSS2",NA,"vcapEC"
"4-hydroxyproline Degradation I",0.896,0.5,NA,"ALDH4A1",NA,"vcapEC"
"Glycerol-3-phosphate Shuttle",0.896,0.5,NA,"GPD2",NA,"vcapEC"
"Glutamine Degradation I",0.896,0.5,NA,"GLS",NA,"vcapEC"
"Class I peroxisomal membrane protein import",0.853,0.15,NA,"ABCD3,PEX13,SLC25A17",NA,"vcapEC"
"Mineralocorticoid Biosynthesis",0.735,0.167,NA,"EBP,HSD3B7",NA,"vcapEC"
