gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Tfrc,1.8571817643752702e-25,-0.73816680060609,0.69,0.814,3.28814031382642e-21
Frmd5,5.17684589453645e-18,-0.658556312789567,0.548,0.692,9.16560565627678e-14
Usp53,2.9899782936416003e-21,-0.623467247079957,0.677,0.79,5.29375656889246e-17
Slc6a6,2.83076351444909e-45,-0.60820215013136,0.922,0.97,5.01186680233212e-41
Jund,2.3235300221326003e-16,-0.558182678229134,0.882,0.896,4.11380990418578e-12
Layn,3.27341206314499e-22,-0.552055443903636,0.518,0.695,5.7955760577982095e-18
Cobll1,2.1255568492678e-17,-0.472227357482642,0.725,0.81,3.76329840162864e-13
Grrp1,5.965501752534189e-18,-0.47061000313629,0.664,0.789,1.05619208528618e-13
Cldn5,1.16141929494948e-41,-0.419876603875355,0.995,0.998,2.05629286170806e-37
Vwa1,1.70000711068565e-17,-0.327913712478034,0.959,0.974,3.00986258946895e-13
Bsg,8.91970517208561e-33,-0.322122644169854,0.998,0.999,1.5792338007177599e-28
Itm2a,1.43374683283576e-17,-0.302989668700018,0.995,0.993,2.53844876753571e-13
