© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Protein Kinase A Signaling	9.79E00	6.57E-02	1.877	AKAP13,BRAF,CREBBP,FLNB,GNAQ,ITPR2,LEF1,MTMR3,MYH10,NFAT5,PDE7B,PLCB1,PLCB4,PLCG1,PPP3CA,PRKCB,PRKCE,PRKCH,PRKD3,PTK2,PTPN14,PTPN4,PTPRG,PTPRK,PTPRM,SMAD3,TCF4	
RHO GTPase cycle	9.59E00	6.22E-02	5.292	AKAP13,ARHGAP18,ARHGAP26,ARHGAP31,ARHGEF12,CDC42BPA,CHN2,CLTC,DOCK1,DOCK4,DOCK9,FARP1,FGD5,ITSN2,MSI2,PHIP,PKP4,PLEKHG1,PREX2,RALGAPA1,RASGRF2,RHOJ,SH3RF1,SPTBN1,SRGAP2,STARD13,TJP2,TRIO	
Netrin Signaling	7.24E00	8.67E-02	3.357	ABLIM1,AKT3,DOCK1,ITPR2,NFAT5,PLCG1,PPP3CA,PRKCB,PRKCE,PRKCH,PRKD3,PRKG1,PTK2,TRIO,VTI1A	
Sperm Motility	7.13E00	7E-02	3.162	DYRK1A,FLT1,FLT4,GNAQ,IGF1R,INSR,ITPR2,MERTK,PLCB1,PLCB4,PLCG1,PRKCB,PRKCE,PRKCH,PRKD3,PRKG1,PTK2,TEK	
Factors Promoting Cardiogenesis in Vertebrates	7.09E00	9.15E-02	3.207	APC,BMPR2,CREBBP,LEF1,MEF2C,PLCB1,PLCB4,PLCG1,PRKCB,PRKCE,PRKCH,PRKD3,TCF4,TGFBR3	
Oxytocin Signaling Pathway	6.52E00	6.38E-02	3.771	AKT3,CREBBP,GNAQ,ITPR2,MEF2C,MPRIP,MYH10,MYH9,MYO10,MYO18A,PLCB1,PLCB4,PPP3CA,PRKCB,PRKCE,PRKCH,PRKD3,PRKG1	
PTEN Signaling	6.32E00	8.61E-02	-3.464	AKT3,BMPR2,FLT1,FLT4,GHR,IGF1R,INSR,ITGA6,MAGI1,MAGI3,PREX2,PTK2,TGFBR3	
Gap Junction Signaling	6.27E00	5.85E-02	0.229	AKT3,CREBBP,GNAQ,ITPR2,LEF1,PLCB1,PLCB4,PLCG1,PPP3CA,PRKCB,PRKCE,PRKCH,PRKD3,PRKG1,PTPRM,SMAD3,TCF4,TJP1,TJP2	
Signaling by VEGF	6.16E00	1.02E-01	3.162	AKT3,DOCK1,ELMO1,FLT1,FLT4,ITPR2,NRP1,PLCG1,PRKCB,PTK2,RICTOR	
Cardiac Hypertrophy Signaling (Enhanced)	6.11E00	4.61E-02	4.899	AKAP13,AKT3,BMPR2,Diaph2,GHR,GNAQ,IGF1R,ITGA6,ITPR2,MAP3K20,MAP3K3,MEF2C,NFAT5,PDE7B,PLCB1,PLCB4,PLCG1,PPP3CA,PRKCB,PRKCE,PRKCH,PRKD3,PRKG1,PTK2,TGFBR3	
