© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon alpha/beta signaling	1.36E01	2.39E-01	4.123	EGR1,HLA-A,IFI35,IFIT2,IFIT3,IFITM3,IRF2,IRF7,IRF9,ISG15,ISG20,RSAD2,SAMHD1,STAT1,STAT2,USP18,XAF1	
RHO GTPase cycle	9.42E00	7.11E-02	5.657	AKAP12,ARHGAP26,ARHGAP27,ARHGAP31,CCDC88A,CDC42BPA,CDC42EP3,CDC42EP4,DOCK9,FMNL2,GFOD1,GJA1,HSP90AA1,HSP90AB1,HSPE1,JAG1,MCF2L,MOSPD2,NET1,PICALM,PKP4,PLEKHG1,RALBP1,RASAL2,RHOB,SOS1,SPEN,STARD13,STIP1,STOM,TOR1AIP1,WASF2	
Interferon Signaling	6.43E00	2.22E-01	1.890	BCL2,IFI35,IFIT3,IFITM3,IRF9,ISG15,STAT1,STAT2	
Role of PKR in Interferon Induction and Antiviral Response	6.33E00	1.03E-01	1.069	ATF3,EIF2AK2,FAS,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,IFIH1,IRF9,NFKBIA,PDGFD,STAT1,STAT2,TAB2	
Chronic Myeloid Leukemia Signaling	6.18E00	7.19E-02	2.236	BCL2,BCL2L1,CCND3,CDKN1A,CRK,FAS,FOXO3,FZD4,HES1,HSP90AA1,HSP90AB1,MECOM,NOTCH4,PIK3C2A,PRKAG2,SOS1,SPRED1,TCF4,TRIB2,XIAP	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	6.04E00	1.28E-01	2.714	EIF2AK2,IFIT2,IFIT3,IRF7,IRF9,ISG15,ISG20,RSAD2,S1PR1,STAT1,STAT2	
PEDF Signaling	5.25E00	1.19E-01	1.000	BCL2,BCL2L1,CFLAR,FAS,NFKBIA,PIK3C2A,PNPLA2,TCF4,WASF2,ZEB1	
ISGylation Signaling Pathway	5.05E00	1.02E-01	2.714	DTX3L,EIF2AK2,IFIH1,IRF2,IRF7,IRF9,ISG15,STAT1,STAT2,USP18,XIAP	
Cachexia Signaling Pathway	4.87E00	5.71E-02	2.837	BCL2,CEBPD,DDIT4,EIF2AK2,FOXO3,GABARAPL1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,IGF1R,INSR,PIK3C2A,PNPLA2,PRKACB,PRKAG2,PSME1,S1PR1,STAT1,STAT2,TNFRSF12A	
Death Receptor Signaling	4.73E00	1.04E-01	-0.632	BCL2,BIRC3,CFLAR,FAS,HSPB1,NFKBIA,PARP14,PARP9,TIPARP,XIAP	
Activation of IRF by Cytosolic Pattern Recognition Receptors	4.42E00	1.23E-01	1.414	IFIH1,IFIT2,IRF7,IRF9,ISG15,NFKBIA,STAT1,STAT2	
Interleukin-4 and Interleukin-13 signaling	4.22E00	9.09E-02	3.162	BCL2,BCL2L1,CDKN1A,CEBPD,FOXO3,HSP90AA1,IL13RA1,S1PR1,STAT1,ZEB1	
Interferon gamma signaling	4.03E00	9.57E-02	3.000	B2M,GBP4,GBP7,HLA-A,IRF2,IRF7,IRF9,STAT1,TRIM5	
NLR signaling pathways	3.98E00	1.25E-01	2.646	BCL2,BCL2L1,BIRC3,HSP90AB1,IRAK2,TAB2,TXNIP	
IGF-1 Signaling	3.66E00	8.57E-02	2.449	CCN1,CCN2,FOXO3,IGF1R,PIK3C2A,PRKACB,PRKAG2,PXN,SOS1	
Pyridoxal 5'-phosphate Salvage Pathway	3.57E00	1.08E-01	2.646	CDK8,DAPK1,EIF2AK2,HIPK1,MAP3K6,PDXK,SGK1	
RIPK1-mediated regulated necrosis	3.44E00	1.56E-01	2.236	BIRC3,CFLAR,FAS,HSP90AA1,XIAP	
Signaling by NOTCH3	3.38E00	1.2E-01	2.449	DLL4,HES1,HEY1,JAG1,MIB1,STAT1	
MYC Mediated Apoptosis Signaling	3.38E00	1.2E-01	0.000	BCL2,BCL2L1,CFLAR,FAS,PRKACB,PRKAG2	
MAPK6/MAPK4 signaling	3.35E00	8.7E-02	1.890	CCND3,CDC14A,CDC42EP3,FOXO3,HSPB1,PRKACB,PSME1,TNRC6C	
Pyroptosis Signaling Pathway	3.29E00	8.51E-02	0.707	FOXO3,GBP4,GBP7,IRF2,NEK7,PRKACB,PRKAG2,TXNIP	
Glucocorticoid Receptor Signaling	3.28E00	4.12E-02	NaN	B2M,BCL2,BCL2L1,CDKN1A,DNAH3,DUSP1,FKBP5,FOXO3,GJA1,HLA-A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,IL13RA1,NFKBIA,PIK3C2A,PRKACB,PRKAG2,SGK1,SMARCA2,SOS1,STAT1,TSC22D3	
Aldosterone Signaling in Epithelial Cells	3.23E00	6.4E-02	NaN	DNAJB2,DUSP1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPB1,HSPE1,HSPH1,PIK3C2A,SGK1,SOS1	
Salvage Pathways of Pyrimidine Ribonucleotides	3.2E00	8.25E-02	2.828	APOBEC3B,CDK8,CMPK2,DAPK1,EIF2AK2,HIPK1,MAP3K6,SGK1	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	3.16E00	1.09E-01	2.449	DNAJA4,FKBP5,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,STIP1	
VEGF Signaling	3.14E00	8.08E-02	1.890	ACTN4,BCL2,BCL2L1,FOXO3,PIK3C2A,PXN,SOS1,VCL	
Notch Signaling	3.09E00	1.32E-01	NaN	DLL4,HES1,HEY1,JAG1,NOTCH4	
IL-7 Signaling Pathway	3.08E00	8.97E-02	2.449	BCL2,CCND3,FOXO3,PIK3C2A,SLC2A1,SOS1,STAT1	
Signaling by PDGF	3.04E00	1.03E-01	2.449	COL4A1,CRK,PDGFD,PLAT,SOS1,STAT1	
IL-10 Signaling	3.03E00	6.49E-02	1.897	BCL2,BCL2L1,CDKN1A,DDIT4,DUSP1,HLA-A,NFKBIA,PRDM1,PRKAG2,STAT1	
Protein Ubiquitination Pathway	2.99E00	5.13E-02	NaN	B2M,BIRC3,DNAJB2,HLA-A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPB1,HSPE1,HSPH1,PSME1,USP18,USP54,XIAP	
Epithelial Adherens Junction Signaling	2.95E00	6.33E-02	1.000	CRK,CTNND1,FGFR1,IGF1R,NOTCH4,PPP2R2D,PRKAG2,TCF4,TNS1,VCL	
Autophagy	2.91E00	5.53E-02	0.905	BCL2,BNIP3,DAPK1,FOXO3,GABARAPL1,INSR,PIK3C2A,PPP2R2D,PRKACB,PRKAG2,SESN1,SLC7A5	
Signaling by VEGF	2.89E00	7.41E-02	2.828	CRK,CTNND1,ELMO1,HSP90AA1,HSPB1,PRKACB,PXN,WASF2	
Role of JAK2 in Hormone-like Cytokine Signaling	2.88E00	9.68E-02	1.633	BCL2,BCL2L1,BIRC3,CCND3,SH2B3,STAT1	
Oncostatin M Signaling	2.84E00	1.16E-01	2.000	EPAS1,OSMR,SOS1,STAT1,TIMP3	
Semaphorin interactions	2.81E00	9.38E-02	2.449	HSP90AA1,HSP90AB1,MYH9,PLXNA2,RHOB,SEMA7A	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.8E00	5.67E-02	NaN	BCL2,CCN2,COL4A1,FAS,FGFR1,IGF1R,KLF6,MYH9,MYO10,PDGFD,STAT1	
Molecular Mechanisms of Cancer	2.8E00	3.5E-02	4.382	ACKR3,ADGRF5,ADGRG1,ADGRL3,BCL2,BCL2L1,BIRC3,CCND3,CDKN1A,CFLAR,CRK,CTNND1,FAS,FZD4,HES1,HEY1,IL13RA1,NF1,NFKBIA,PIK3C2A,PRKACB,PRKAG2,RALBP1,RHOB,S1PR1,SMAD1,SOS1,TAB2,TCF4,XIAP	
Adipogenesis pathway	2.78E00	6.47E-02	1.000	CEBPD,FGFR1,FZD4,KAT6A,LPIN1,NOCT,NR1D1,SMAD1,TXNIP	
Induction of Apoptosis by HIV1	2.78E00	9.23E-02	-1.633	BCL2,BCL2L1,BIRC3,FAS,NFKBIA,XIAP	
Immunogenic Cell Death Signaling Pathway	2.72E00	7.78E-02	1.890	BCL2,CFLAR,DAPK1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b	
Unfolded protein response	2.72E00	7.78E-02	1.000	BCL2,CEBPD,DNAJA4,DNAJB2,HSPA1A/HSPA1B,Hspa1b,HSPH1	
Pulmonary Fibrosis Idiopathic Signaling Pathway	2.69E00	4.6E-02	3.357	BCL2,CCN2,COL4A1,EGR1,FGFR1,FOXO3,FZD4,HES1,IL13RA1,JAG1,NOTCH4,PDGFD,PIK3C2A,SOS1,TCF4	
Factors involved in megakaryocyte development and platelet production	2.69E00	7.69E-02	1.890	CABLES1,DOCK9,IRF2,MAFF,MAFK,PRKACB,SH2B3	
