© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
RHO GTPase cycle	1.2E01	8.67E-02	-6.245	AKAP13,ARAP2,ARHGAP18,ARHGAP21,ARHGAP23,ARHGEF2,ARHGEF28,ARHGEF5,BAIAP2L1,CAV1,CHN2,CPD,CPNE8,DOCK4,DOCK6,ESYT1,FMNL3,IQGAP1,KALRN,MACO1,MYO6,MYO9A,OPHN1,PHIP,PIK3R3,RBBP6,RHOBTB1,RRAS2,SCFD1,SH3RF1,SRGAP1,SRGAP2,STK38,SWAP70,TFRC,TIAM1,TJP2,UACA,WWP2	
Pulmonary Fibrosis Idiopathic Signaling Pathway	9.99E00	9.2E-02	-4.382	ADAM10,ADAMTS1,AKT3,BMPR2,BRAF,CAV1,CDH2,EDN1,EZH2,FGFR2,FN1,FOS,FZD6,GSK3B,JUN,LEF1,MMP28,MRTFA,PDGFB,PIK3C2A,PIK3CB,PIK3R3,PTK2,RPS6KA3,RRAS2,STAT3,STK38,Tcf7,TGFA,TGFB2	
Cardiac Hypertrophy Signaling (Enhanced)	9.56E00	7.2E-02	-5.096	ADCY4,AKAP13,AKT3,BMPR2,CACNA1A,CAMK2D,Diaph2,EDN1,EIF2B4,FGF13,FGFR2,FZD6,GHR,GNAQ,GSK3B,HDAC7,HDAC8,IFNAR1,INPP5F,ITGA1,ITPR1,JUN,MAP3K3,MAP3K8,MEF2C,NFAT5,NOTUM,PIK3C2A,PIK3CB,PIK3R3,PLCB1,PRKCB,PRKCH,PRKG1,PTK2,RRAS2,STAT3,TGFB2,TNFSF10	
HIF1α Signaling	8.56E00	1.05E-01	-3.411	AKT3,BRAF,CAMK2D,EDN1,HIF1A,HSPA1A/HSPA1B,Hspa1b,JUN,KDR,MMP28,NCOA1,PDGFB,PIK3C2A,PIK3CB,PIK3R3,PRKCB,PRKCH,RRAS2,SAT1,STAT3,TGFA,TGFB2	
Adrenomedullin signaling pathway	8.22E00	1.06E-01	-4.146	ADCY4,AKT3,BRAF,CFH,FOS,GNAQ,GSK3B,HIF1A,ITPR1,MAPK6,MAX,NOS3,NOTUM,PIK3C2A,PIK3CB,PIK3R3,PLCB1,PRKG1,PTK2,RRAS2,SHE	
Chronic Myeloid Leukemia Signaling	7.57E00	8.63E-02	-3.266	AKT3,FOS,FZD6,GAB2,GSK3B,HDAC7,HDAC8,JUN,KLF4,LEF1,MECOM,NFAT5,NOTUM,NUMB,PIK3C2A,PIK3CB,PIK3R3,PLCB1,RRAS2,STAT3,Tcf7,TGFB2,TNFSF10,TRIB2	
Role of Tissue Factor in Cancer	7.21E00	9.66E-02	-4.025	AKT3,BMPR2,BRAF,FOS,GNAQ,HBEGF,JUN,KDR,LYN,MAPK6,PIK3C2A,PIK3CB,PIK3R3,PLCB1,PPP2R3A,PTK2,RPS6KA3,RRAS2,TGFA,TGFB2	
eNOS Signaling	6.98E00	1.09E-01	-2.324	ADCY4,AKT3,CAV1,GNAQ,HSPA1A/HSPA1B,Hspa1b,ITPR1,KDR,LPAR6,NOS3,PIK3C2A,PIK3CB,PIK3R3,PRKCB,PRKCH,PRKG1,SLC7A1	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	6.92E00	8.9E-02	-1.964	AKT3,CDH2,CLDN5,CTNNA1,FOS,FOSB,GSK3B,IQGAP1,JUN,LAMA4,MAP3K3,MAP3K8,PIK3C2A,PIK3CB,PIK3R3,PPP2R3A,PRKG1,PTK2,RRAS2,TGFB2,TJP1	
MSP-RON Signaling in Cancer Cells Pathway	6.89E00	1.14E-01	-3.500	AKT3,BRAF,ETS1,FOS,GSK3B,HIF1A,JUN,LEF1,PIK3C2A,PIK3CB,PIK3R3,PTK2,RPS6KA3,RRAS2,STAT3,Tcf7	
