© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
RHO GTPase cycle	2.89E01	2.02E-01	9.539	ABL2,ACBD5,ADD3,AKAP13,ARHGAP17,ARHGAP18,ARHGAP21,ARHGAP23,ARHGAP26,ARHGAP29,ARHGAP31,ARHGAP32,ARHGAP5,ARHGEF11,ARHGEF12,ARHGEF3,BCR,CCDC88A,CDC42BPA,CDC42BPB,CHN2,CLTC,CPD,CPNE8,CUL3,DNMBP,DOCK1,DOCK4,DOCK9,ERBIN,FAM135A,FARP1,FGD5,FILIP1,FMNL2,GFOD1,GIT2,GJA1,GNA13,HNRNPC,IQGAP1,ITSN1,ITSN2,KALRN,KIDINS220,LEMD3,MCF2L,MPP7,MSI2,MTR,MYO6,MYO9A,MYO9B,NCKAP1,NET1,OPHN1,OSBPL11,PDE5A,PEAK1,PHIP,PICALM,PIK3CA,PIK3R1,PIK3R3,PKP4,PLEKHG1,PREX2,RALGAPA1,RAPGEF1,RASAL2,RASGRF2,RHOBTB1,RHOJ,ROCK1,ROCK2,SH3RF1,SLK,SOS1,SOS2,SPATA13,SPEN,SPTAN1,SPTBN1,SRGAP1,SRGAP2,STARD13,TJP2,TRIO,UACA,USP9X,WIPF1	
Chronic Myeloid Leukemia Signaling	1.33E01	1.76E-01	5.571	ABCB1,ABL1,AKT3,BCL2,BCL2L1,CCND1,CDK6,CRKL,FOXO3,GAB2,HDAC4,HDAC8,HDAC9,ITCH,JAK2,LEF1,MECOM,MSI2,MTOR,NFAT5,NFKB1,NOTCH4,NUMB,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,PTEN,RB1,RBL2,RPTOR,SIN3A,SOS1,SOS2,SPRED1,STAT3,STAT5B,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2,USP7,XIAP	
Role of Tissue Factor in Cancer	1.3E01	1.98E-01	5.466	ACVR1,ACVR2A,AKT3,BCL2,BCL2L1,BMPR2,BRAF,EGR1,FLT1,FLT4,GNA13,GNAQ,ITGA6,JAK2,MAP2K4,MAP2K5,MAP2K6,MAPK8,MTOR,NFKB1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,Ppp2r5c,PPP2R5E,PTEN,PTK2,RB1,RBL2,RPS6KA3,RPS6KA5,RPS6KB1,RPS6KC1,STAT5B,TGFB2,TGFBR2,TGFBR3,YES1,ZEB1	
Hepatic Fibrosis Signaling Pathway	1.28E01	1.47E-01	6.147	ACVR1,ACVR2A,AKT3,APC,ATF2,BCL2,BMPR2,BRAF,CACNA1A,CCDC88A,CCND1,CREB1,CREBBP,CSNK1G1,FLT1,FLT4,FOXO1,IRAK3,ITGA1,ITGA6,JAK2,LEF1,LRP5,LRP6,MAP2K4,MAP2K5,MAP2K6,MAPK8,MTOR,MYLK,NFKB1,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PRKCB,PRKCE,PRKCH,PRKD1,PRKD3,PTEN,PTK2,RHOBTB1,RHOJ,RIPK1,ROCK1,ROCK2,RPS6KB1,SOS1,SOS2,SP1,STAT3,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2,TGFBR3,TRPM7,YAP1	
Pulmonary Fibrosis Idiopathic Signaling Pathway	1.23E01	1.6E-01	6.102	ACVR1,ACVR2A,AKT3,ATF2,BCL2,BMPR2,BRAF,CCND1,COL4A1,COL4A2,CREBBP,EFNB2,EGR1,FN1,FOXO1,FOXO3,GNA13,JAK2,JARID2,LEF1,MAP2K4,MAP2K6,MAPK8,MTOR,NFKB1,NOTCH4,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PRKN,PTEN,PTK2,ROCK1,ROCK2,RPS6KA3,RPS6KA5,RPS6KB1,RPS6KC1,SOS1,SOS2,STAT3,SUZ12,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2,TGFBR3,WWTR1,YAP1	
HGF Signaling	1.2E01	2.35E-01	5.099	AKT3,ATF2,CCND1,CRKL,DOCK1,ELF2,ETS1,ETS2,GAB1,ITGA1,ITGA6,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAPK8,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PRKCB,PRKCE,PRKCH,PRKD1,PRKD3,PTK2,RAPGEF1,SOS1,SOS2,STAT3	
PTEN Signaling	1.18E01	2.19E-01	-4.158	AKT3,BCL2,BCL2L1,BMPR2,CBL,CCND1,CNKSR3,FLT1,FLT4,FOXO1,FOXO3,GHR,IGF1R,INPP5D,INPP5F,INSR,ITGA1,ITGA6,MAGI1,MAGI3,MAST2,NFKB1,PIK3CA,PIK3R1,PIK3R3,PREX2,PTEN,PTK2,RPS6KB1,SOS1,SOS2,TGFBR2,TGFBR3	
Protein Kinase A Signaling	1.13E01	1.41E-01	2.654	ADCY9,ADD3,AKAP10,AKAP11,AKAP13,AKAP7,ANAPC1,ATF2,BRAF,CAMK2D,CREB1,CREBBP,EYA3,FLNB,GNA13,GNAQ,GNG12,ITPR1,ITPR2,ITPR3,LEF1,MAP3K1,MTMR3,MYH10,MYLK,NFAT5,NFKB1,PDE10A,PDE5A,PDE7B,PHKB,PLCB1,PLCB4,PLCG1,PPP1R12A,PPP3CA,PPP3CC,PRKCB,PRKCE,PRKCH,PRKD1,PRKD3,PTEN,PTK2,PTPN14,PTPN4,PTPRA,PTPRB,PTPRG,PTPRK,PTPRM,ROCK1,ROCK2,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2	
Cardiac Hypertrophy Signaling (Enhanced)	1.12E01	1.27E-01	7.385	ACVR1,ACVR2A,ADCY9,AKAP13,AKT3,ATF2,ATF6,BMPR2,CACNA1A,CAMK2D,Diaph2,DLG1,FGF13,GHR,GNA13,GNAQ,GNG12,HDAC4,HDAC8,HDAC9,IGF1R,INPP5F,ITGA1,ITGA6,ITPR1,ITPR2,ITPR3,JAK2,MAP2K4,MAP2K5,MAP2K6,MAP3K1,MAP3K2,MAP3K20,MAP3K3,MAPK8,MEF2A,MEF2C,MTOR,NFAT5,NFKB1,PDE10A,PDE5A,PDE7B,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,PRKCB,PRKCE,PRKCH,PRKD1,PRKD3,PRKG1,PTEN,PTK2,ROCK1,ROCK2,RPS6KA5,RPS6KB1,STAT3,TGFB2,TGFBR2,TGFBR3	
Senescence Pathway	1.1E01	1.57E-01	4.919	ACVR1,ACVR2A,AKT3,ANAPC1,ASXL2,ATM,BHLHE40,BMPR2,BRAF,CACNA1A,CCND1,CDK6,CREBBP,ELF2,EP400,ETS1,ETS2,FOXO3,HIPK2,ITPR2,ITPR3,ITSN2,KAT2B,MAP2K4,MAP2K5,MAP2K6,MCU,MTOR,NF1,NFAT5,NFKB1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PPM1L,PPP2R5E,PPP3CA,PPP3CC,PTEN,RB1,RBL2,RPS6KA5,SMAD5,TGFB2,TGFBR2,TGFBR3	
