© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
IL-12 Signaling and Production in Macrophages	7.74E00	4.26E-02	0.632	APOE,ETS2,FOS,H3-3A/H3-3B,IL10RB,JUN,MAPK3,NFAT5,PIK3R3,TGFB2	
14-3-3-mediated Signaling	7.6E00	6.3E-02	-2.236	FOS,JUN,MAPK3,PIK3R3,TUBA1A,TUBB,TUBB4B,VIM	
MSP-RON Signaling in Cancer Cells Pathway	7.27E00	5.71E-02	-2.828	ETS2,FOS,JUN,MAPK3,PIK3R3,TRIM24,VEGFC,VIM	
Axonal Guidance Signaling	6.37E00	2.35E-02	NaN	ABLIM1,ADAMTS1,EPHA4,MAPK3,NFAT5,PIK3R3,SEMA6A,TUBA1A,TUBB,TUBB4B,UNC5B,VEGFC	
UVB-Induced MAPK Signaling	5.84E00	9.62E-02	-2.000	FOS,H3-3A/H3-3B,JUN,MAPK3,PIK3R3	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	5.54E00	3.39E-02	-1.414	CLDN5,FOS,FOSB,JUN,LAMA4,MAPK3,PIK3R3,TGFB2	
Sertoli Cell-Sertoli Cell Junction Signaling	5.45E00	3.29E-02	-2.121	CLDN5,JUN,LAMA4,MAPK3,PIK3R3,TUBA1A,TUBB,TUBB4B	
Tumor Microenvironment Pathway	5.32E00	3.91E-02	-2.646	FOS,JUN,MAPK3,PIK3R3,TGFB2,TIAM1,VEGFC	
ESR-mediated signaling	5.27E00	5.08E-02	-2.449	FOS,FOSB,JUN,JUND,MAPK3,POLR2E	
Macrophage Alternative Activation Signaling Pathway	5.15E00	3.68E-02	-0.378	FOS,H3-3A/H3-3B,IL10RB,JUN,MAPK3,PIK3R3,TGFB2	
Role of JAK family kinases in IL-6-type Cytokine Signaling	4.94E00	6.33E-02	-2.236	FOS,JUNB,MAPK3,TGFB2,VEGFC	
Role of Tissue Factor in Cancer	4.9E00	3.38E-02	-2.646	FOS,JUN,KDR,MAPK3,PIK3R3,TGFB2,VEGFC	
HIF1α Signaling	4.88E00	3.35E-02	-2.646	JUN,KDR,MAPK3,PIK3R3,TGFB2,VEGFC,VIM	
NGF-stimulated transcription	4.87E00	1.03E-01	-2.000	FOS,FOSB,JUNB,JUND	
VEGF Family Ligand-Receptor Interactions	4.8E00	5.95E-02	-2.236	FOS,KDR,MAPK3,PIK3R3,VEGFC	
Activin Inhibin Signaling Pathway	4.76E00	3.21E-02	-2.646	FOS,FOSB,JUN,MAPK3,PIK3R3,SOX17,TGFB2	
ABRA Signaling Pathway	4.61E00	5.43E-02	-2.236	FOS,FOSB,JUNB,JUND,VEGFC	
Germ Cell-Sertoli Cell Junction Signaling	4.37E00	3.53E-02	NaN	MAPK3,PIK3R3,TGFB2,TUBA1A,TUBB,TUBB4B	
Netrin Signaling	4.33E00	3.47E-02	-1.633	ABLIM1,MAPK3,NFAT5,PIK3R3,TIAM1,UNC5B	
EGF Signaling	4.24E00	7.14E-02	-2.000	FOS,JUN,MAPK3,PIK3R3	
Glucocorticoid Receptor Signaling	4.21E00	1.72E-02	NaN	FOS,H3-3A/H3-3B,IFNAR1,IL10RB,JUN,MAPK3,NFAT5,PIK3R3,POLR2E,TGFB2	
Signaling by Rho Family GTPases	4.2E00	2.62E-02	-2.646	CDC42EP2,CDC42EP5,FOS,JUN,MAPK3,PIK3R3,VIM	
IL-17 Signaling	4.14E00	3.21E-02	-2.449	FOS,JUN,MAPK3,PIK3R3,TGFB2,VEGFC	
IL-13 Signaling Pathway	4.13E00	4.31E-02	-2.236	JUN,MAOA,MAPK3,PIK3R3,TGFB2	
NOD1/2 Signaling Pathway	4.12E00	3.17E-02	-2.449	FOS,IFNAR1,IFNAR2,JUN,MAPK3,TGFB2	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	4.08E00	3.12E-02	-2.449	FOS,JUN,MAPK3,PIK3R3,TGFB2,VIM	
IL-2 Signaling	4.07E00	6.45E-02	NaN	FOS,JUN,MAPK3,PIK3R3	
Thrombopoietin Signaling	4.04E00	6.35E-02	-2.000	FOS,JUN,MAPK3,PIK3R3	
ILK Signaling	3.97E00	2.99E-02	-2.236	FOS,JUN,MAPK3,PIK3R3,VEGFC,VIM	
ROBO SLIT Signaling Pathway	3.94E00	3.94E-02	1.342	FOS,JUN,KDR,UNC5B,VEGFC	
