© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	4.39E00	1.11E-01	-2.000	IFIT3,IFITM3,IFNAR1,IFNAR2	
Interferon alpha/beta signaling	3.23E00	5.63E-02	-2.000	IFIT3,IFITM3,IFNAR1,IFNAR2	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	3.19E00	3.09E-02	NaN	EDN1,IFNAR1,IFNAR2,PDGFB,SMAD7,TGFB2	
Neurotransmitter clearance	2.9E00	2E-01	NaN	ALDH2,MAOA	
EPH-Ephrin signaling	2.78E00	4.26E-02	-2.000	AP2A2,Ap2b1,EFNA1,EPHA4	
Transport of inorganic cations/anions and amino acids/oligopeptides	2.61E00	3.85E-02	-2.000	SLC38A2,SLC3A2,SLC6A6,SLC7A1	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	2.6E00	1.43E-01	NaN	ALDH2,MAOA	
Cargo recognition for clathrin-mediated endocytosis	2.57E00	3.74E-02	-2.000	AP2A2,Ap2b1,HBEGF,TFRC	
Metabolism of nitric oxide: NOS3 activation and regulation	2.54E00	1.33E-01	NaN	CAV1,DDAH2	
FOXO-mediated transcription of cell cycle genes	2.43E00	1.18E-01	NaN	BTG1,CAV1	
Virus Entry via Endocytic Pathways	2.42E00	3.39E-02	NaN	AP2A2,Ap2b1,CAV1,TFRC	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	2.41E00	2.6E-02	-1.342	ID2,PDGFB,TGFB2,TNFSF10,VIM	
RHOA Signaling	2.34E00	3.23E-02	-2.000	CDC42EP2,LPAR6,RDX,RHPN2	
Human Embryonic Stem Cell Pluripotency	2.33E00	2.49E-02	-1.342	ID2,PDGFB,SMAD7,TBX3,TGFB2	
Glutamine Biosynthesis I	2.27E00	1E00	NaN	GLUL	
Clathrin-mediated endocytosis	2.27E00	3.08E-02	-2.000	AP2A2,Ap2b1,HBEGF,TFRC	
Clathrin-mediated Endocytosis Signaling	2.27E00	2.4E-02	NaN	AP2A2,Ap2b1,APOE,PDGFB,TFRC	
HIF1α Signaling	2.26E00	2.39E-02	-2.236	CAMK1D,EDN1,PDGFB,TGFB2,VIM	
Response to elevated platelet cytosolic Ca2+	2.25E00	3.03E-02	-2.000	LHFPL2,PDGFB,TGFB2,VWF	
Putrescine Degradation III	2.21E00	9.09E-02	NaN	ALDH2,MAOA	
Plasma lipoprotein assembly, remodeling, and clearance	2.1E00	3.95E-02	NaN	AP2A2,APOE,LSR	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.07E00	7.69E-02	NaN	IFNAR1,IFNAR2	
Integrin signaling	2.03E00	7.41E-02	NaN	RAPGEF4,VWF	
Tryptophan Degradation X (Mammalian, via Tryptamine)	2.03E00	7.41E-02	NaN	ALDH2,MAOA	
Apelin Liver Signaling Pathway	2.03E00	7.41E-02	NaN	EDN1,EDN3	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.95E00	3.49E-02	NaN	IFIT3,IFNAR1,IFNAR2	
Wound Healing Signaling Pathway	1.93E00	1.98E-02	-1.342	HBEGF,PDGFB,TGFB2,TNFSF10,VIM	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	1.89E00	6.25E-02	NaN	AP2A2,Ap2b1	
Dopamine Degradation	1.89E00	6.25E-02	NaN	ALDH2,MAOA	
WNT/β-catenin Signaling	1.84E00	2.3E-02	2.000	SOX13,SOX17,SOX18,TGFB2	
Noradrenaline and Adrenaline Degradation	1.77E00	5.41E-02	NaN	ALDH2,MAOA	
Macrophage Classical Activation Signaling Pathway	1.72E00	2.12E-02	NaN	IFNAR1,IFNAR2,TGFB2,TNFSF10	
NOD1/2 Signaling Pathway	1.72E00	2.12E-02	-2.000	IFNAR1,IFNAR2,TGFB2,TNFSF10	
Neurotransmitter release cycle	1.71E00	5E-02	NaN	MAOA,SLC38A2	
Extracellular matrix organization	1.71E00	2.83E-02	NaN	AGRN,PDGFB,TGFB2	
Transport of vitamins, nucleosides, and related molecules	1.69E00	4.88E-02	NaN	SLC16A2,SLCO1C1	
Leukocyte Extravasation Signaling	1.69E00	2.07E-02	NaN	BMX,CLDN5,RAPGEF4,RDX	
Neurotransmitter uptake and metabolism In glial cells	1.67E00	2.5E-01	NaN	GLUL	
Phenylethylamine Degradation I	1.67E00	2.5E-01	NaN	ALDH2	
Melatonin Degradation II	1.67E00	2.5E-01	NaN	MAOA	
TCF dependent signaling in response to WNT	1.64E00	2.01E-02	-2.000	CAV1,PSMC1,SOX13,SOX17	
ID1 Signaling Pathway	1.63E00	1.99E-02	-2.000	BCL3,CAV1,TGFB2,VIM	
Retinoid metabolism and transport	1.63E00	4.55E-02	NaN	AGRN,APOE	
Coronavirus Replication Pathway	1.61E00	4.44E-02	NaN	IFITM3,TUBB	
IL-13 Signaling Pathway	1.61E00	2.59E-02	NaN	HBEGF,MAOA,TGFB2	
Ephrin A Signaling	1.58E00	4.26E-02	NaN	EFNA1,EPHA4	
Tetrapyrrole Biosynthesis II	1.57E00	2E-01	NaN	ALAS1	
Synaptogenesis Signaling Pathway	1.55E00	1.59E-02	-2.000	AP2A2,Ap2b1,APOE,EFNA1,EPHA4	
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	1.54E00	4.08E-02	NaN	CDK8,SMAD7	
Glioma Signaling	1.52E00	2.4E-02	NaN	CAMK1D,HDAC7,PDGFB	
Pancreatic Adenocarcinoma Signaling	1.51E00	2.38E-02	NaN	HBEGF,HDAC7,TGFB2	
Pulmonary Fibrosis Idiopathic Signaling Pathway	1.5E00	1.53E-02	-1.342	CAV1,EDN1,PDGFB,TGFB2,VIM	
IL-27 Signaling Pathway	1.5E00	2.34E-02	NaN	IFNAR1,IFNAR2,LPAR6	
Apoptotic execution phase	1.5E00	3.85E-02	NaN	BMX,VIM	
Myelination Signaling Pathway	1.49E00	1.53E-02	-0.447	HDAC7,ID2,PDGFB,PLP1,SMAD7	
Signaling by TGF-beta Receptor Complex	1.48E00	3.77E-02	NaN	SMAD7,TGFB2	
STAT3 Pathway	1.44E00	2.22E-02	NaN	IFNAR1,PDGFB,TGFB2	
Role of PKR in Interferon Induction and Antiviral Response	1.43E00	2.21E-02	NaN	IFNAR1,IFNAR2,PDGFB	
Iron homeostasis signaling pathway	1.41E00	2.17E-02	NaN	PDGFB,SLC40A1,TFRC	
Iron uptake and transport	1.41E00	3.45E-02	NaN	SLC40A1,TFRC	
Signaling by ERBB4	1.4E00	3.39E-02	NaN	APOE,HBEGF	
Serotonin Receptor Signaling	1.38E00	1.28E-02	-2.449	CAV1,EDN1,MAOA,ORAI1,TGFB2,VWF	
Retinoic acid Mediated Apoptosis Signaling	1.38E00	3.33E-02	NaN	IFNAR1,TNFSF10	
TRAIL signaling	1.37E00	1.25E-01	NaN	TNFSF10	
NCAM signaling for neurite out-growth	1.37E00	3.28E-02	NaN	AGRN,PRNP	
RHO GTPases Activate Rhotekin and Rhophilins	1.32E00	1.11E-01	NaN	RHPN2	
Sphingosine and Sphingosine-1-phosphate Metabolism	1.32E00	1.11E-01	NaN	SGPP2	
Heme Biosynthesis II	1.32E00	1.11E-01	NaN	ALAS1	
