© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Initiation	5.98E01	6.07E-01	-8.602	EIF2B4,EIF2S2,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3L,EIF3M,EIF4A1,EIF4E,EIF4EBP1,EIF4H,FAU,RPL10,RPL10A,RPL11,RPL13,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA	
SRP-dependent cotranslational protein targeting to membrane	5.81E01	6.17E-01	-8.426	DDOST,FAU,RPL10,RPL10A,RPL11,RPL13,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPN1,RPS10,RPS11,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,SEC11A,SEC11C,SEC61B,SEC61G,SPCS1,SPCS2,SRP14,SRP19,SRP9,SSR2,SSR4	
Eukaryotic Translation Elongation	5E01	6.32E-01	-7.746	EEF1A1,EEF1D,FAU,RPL10,RPL10A,RPL11,RPL13,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA	
Eukaryotic Translation Termination	4.9E01	6.28E-01	-7.681	FAU,RPL10,RPL10A,RPL11,RPL13,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,TRMT112	
EIF2 Signaling	4.89E01	3.83E-01	-6.332	ACTB,AKT1,EIF1AY,EIF2B4,EIF2S2,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3L,EIF3M,EIF4A1,EIF4A3,EIF4E,FAU,HRAS,HSPA5,MAPK3,PPP1CA,RAP1A,RASD1,RPL10,RPL10A,RPL11,RPL13,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,Rpl22l1,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,Rpl34 (includes others),RPL35,RPL35A,Rpl36,Rpl36a,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL7A,RPL7L1,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,RRAS	
Response of EIF2AK4 (GCN2) to amino acid deficiency	4.56E01	5.73E-01	-7.681	EIF2S2,FAU,RPL10,RPL10A,RPL11,RPL13,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA	
Nonsense-Mediated Decay (NMD)	4.51E01	5.3E-01	-7.874	EIF4A3,FAU,MAGOH,PPP2CA,RBM8A,RPL10,RPL10A,RPL11,RPL13,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA	
Selenoamino acid metabolism	4.3E01	5.42E-01	-7.616	FAU,RPL10,RPL10A,RPL11,RPL13,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA	
Major pathway of rRNA processing in the nucleolus and cytosol	4.15E01	3.92E-01	-8.544	C1D,CSNK1E,DDX21,EBNA1BP2,EMG1,EXOSC3,EXOSC4,EXOSC5,EXOSC8,FAU,FCF1,NIP7,RPL10,RPL10A,RPL11,RPL13,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPP21,RPP30,RPS10,RPS11,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,SNU13,UTP11	
Oxidative Phosphorylation	3.07E01	4.38E-01	-6.928	COX17,COX4I1,COX5A,COX6B1,Cox6c,COX7A2,COX7A2L,COX7B,COX8A,CYB5A,CYC1,CYCS,NDUFA1,NDUFA10,NDUFA11,NDUFA12,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFAB1,NDUFB10,NDUFB11,NDUFB2,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFS2,NDUFS3,NDUFS7,NDUFS8,NDUFV1,NDUFV2,NDUFV3,SDHB,SDHD,UQCR10,UQCR11,UQCRB,UQCRC2,UQCRFS1,UQCRHL	
