© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Initiation	1.22E01	1.07E-01	3.606	CP,EIF3J,EIF5B,RPL35,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
EIF2 Signaling	1.21E01	6.96E-02	2.530	EIF3J,EIF5B,HSPA5,RASD1,RPL35,Rpl36,Rpl36a,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Eukaryotic Translation Termination	9.53E00	1.06E-01	3.162	RPL35,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Eukaryotic Translation Elongation	9.48E00	1.05E-01	3.162	RPL35,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Response of EIF2AK4 (GCN2) to amino acid deficiency	9.13E00	9.71E-02	3.162	RPL35,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Selenoamino acid metabolism	8.97E00	9.35E-02	3.162	RPL35,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
SRP-dependent cotranslational protein targeting to membrane	8.66E00	8.7E-02	3.162	RPL35,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Nonsense-Mediated Decay (NMD)	8.58E00	8.55E-02	3.162	RPL35,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Cellular response to heat stress	6.85E00	8.25E-02	2.828	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA5,HSPB1,HSPB8,PTGES3,ST13	
Major pathway of rRNA processing in the nucleolus and cytosol	6.66E00	5.38E-02	3.162	RPL35,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Glucocorticoid Receptor Signaling	6.26E00	2.75E-02	NaN	B2M,BCL2L1,CDKN1A,FKBP5,FOXO3,HLA-A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA5,NFKBIA,PTGES3,RASD1,SMARCA2,TSC22D3	
Aryl Hydrocarbon Receptor Signaling	5.22E00	5.03E-02	-1.134	CCND3,CDKN1A,FAS,HSP90AA1,HSP90AB1,HSPB1,NFIB,PTGES3	
Chronic Myeloid Leukemia Signaling	5.09E00	3.6E-02	1.265	BCL2L1,CCND3,CDKN1A,FAS,FOXO3,FZD4,HES1,HSP90AA1,HSP90AB1,RASD1	
Role of PKR in Interferon Induction and Antiviral Response	4.69E00	5.15E-02	-1.890	FAS,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA5,NFKBIA	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	4.67E00	9.09E-02	2.236	FKBP5,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,PTGES3	
PI3K/AKT Signaling	4.5E00	4E-02	1.342	BCL2L1,CDKN1A,FOXO3,HSP90AA1,HSP90AB1,NFKBIA,PPP2R2D,RASD1	
HIF1α Signaling	4.36E00	3.83E-02	0.707	CAMK1D,CDKN1A,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA5,RASD1,SLC2A1	
Protein Ubiquitination Pathway	4.33E00	3.3E-02	NaN	B2M,HLA-A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA5,HSPB1,HSPB8,HSPE1	
Telomerase Signaling	4.28E00	5.56E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,PPP2R2D,PTGES3,RASD1	
Cachexia Signaling Pathway	4.05E00	2.72E-02	3.162	DDIT4,FOXO3,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA5,IGFBP3,PNPLA2,S1PR1	
Aldosterone Signaling in Epithelial Cells	4.04E00	4.07E-02	NaN	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA5,HSPB1,HSPB8,HSPE1	
TP53 Regulates Transcription of Cell Death Genes	3.83E00	9.09E-02	2.000	FAS,IGFBP3,NDRG1,TP53INP1	
PEDF Signaling	3.79E00	5.95E-02	NaN	BCL2L1,FAS,NFKBIA,PNPLA2,RASD1	
BAG2 Signaling Pathway	3.76E00	5.88E-02	2.236	CDKN1A,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA5	
Natural Killer Cell Signaling	3.67E00	3.54E-02	1.134	B2M,HLA-A,HSPA1A/HSPA1B,Hspa1b,HSPA5,MAP3K6,RASD1	
Immunogenic Cell Death Signaling Pathway	3.65E00	5.56E-02	2.236	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA5	
p53 Signaling	3.47E00	5.1E-02	1.000	BCL2L1,CDKN1A,FAS,ST13,TP53INP1	
mTOR Signaling	3.46E00	3.27E-02	NaN	DDIT4,EIF3J,PPP2R2D,RASD1,RPS21,RPS28,RPS29	
NLR signaling pathways	3.42E00	7.14E-02	2.000	BCL2L1,HSP90AB1,IRAK2,TXNIP	
eNOS Signaling	3.41E00	3.85E-02	NaN	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA5,NOSTRIN	
RHO GTPase cycle	3.35E00	2.22E-02	3.162	ARHGAP5,CDC42BPA,DOCK9,HSP90AA1,HSP90AB1,HSPE1,MCF2L,NET1,PKP4,RALBP1	
Interleukin-4 and Interleukin-13 signaling	3.24E00	4.55E-02	2.236	BCL2L1,CDKN1A,FOXO3,HSP90AA1,S1PR1	
Semaphorin interactions	3.2E00	6.25E-02	2.000	HSP90AA1,HSP90AB1,PLXNA2,SEMA7A	
Prostate Cancer Signaling	3.17E00	4.39E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,NFKBIA,RASD1	
Aryl hydrocarbon receptor signalling	3.12E00	2.86E-01	NaN	HSP90AB1,PTGES3	
ESR-mediated signaling	3.11E00	4.24E-02	1.342	FKBP5,HSP90AA1,HSP90AB1,PTGES3,TNRC6C	
Regulation of eIF4 and p70S6K Signaling	3.03E00	3.26E-02	NaN	EIF3J,PPP2R2D,RASD1,RPS21,RPS28,RPS29	
NOD1/2 Signaling Pathway	2.97E00	3.17E-02	1.633	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA5,NFKBIA	
Xenobiotic Metabolism Signaling	2.66E00	2.38E-02	NaN	CAMK1D,HSP90AA1,HSP90AB1,MAP3K6,PPP2R2D,PTGES3,RASD1	
Oncostatin M Signaling	2.64E00	6.98E-02	NaN	EPAS1,RASD1,TIMP3	
MAPK6/MAPK4 signaling	2.62E00	4.35E-02	1.000	CCND3,FOXO3,HSPB1,TNRC6C	
IL-10 Signaling	2.59E00	3.25E-02	0.447	BCL2L1,CDKN1A,DDIT4,HLA-A,NFKBIA	
Pyroptosis Signaling Pathway	2.58E00	4.26E-02	1.000	FOXO3,GBP4,NEK7,TXNIP	
Azathioprine ADME	2.56E00	1.54E-01	NaN	ABCC4,XDH	
Osteoarthritis Pathway	2.48E00	2.54E-02	0.000	DDIT4,EPAS1,FOXO3,FZD4,HES1,TIMP3	
NRF2-mediated Oxidative Stress Response	2.48E00	2.53E-02	NaN	ABCC4,FKBP5,HSP90AA1,HSP90AB1,HSPB8,RASD1	
Metabolism of nitric oxide: NOS3 activation and regulation	2.44E00	1.33E-01	NaN	HSP90AA1,NOSTRIN	
Apoptosis Signaling	2.42E00	3.85E-02	NaN	BCL2L1,FAS,NFKBIA,RASD1	
Post-translational protein phosphorylation	2.38E00	3.74E-02	2.000	CP,IGFBP3,PNPLA2,PRSS23	
PPAR Signaling	2.38E00	3.74E-02	NaN	HSP90AA1,HSP90AB1,NFKBIA,RASD1	
FOXO-mediated transcription of cell cycle genes	2.33E00	1.18E-01	NaN	CDKN1A,FOXO3	
Tumor Microenvironment Pathway	2.32E00	2.79E-02	-0.447	FAS,FOXO3,HLA-A,RASD1,SLC2A1	
CD27 Signaling in Lymphocytes	2.29E00	5.26E-02	NaN	BCL2L1,MAP3K6,NFKBIA	
MicroRNA Biogenesis Signaling Pathway	2.24E00	2.67E-02	2.236	HSP90AA1,HSP90AB1,PTGES3,RASD1,ST13	
GADD45 Signaling	2.23E00	5E-02	NaN	CCND3,CDKN1A,FOXO3	
FOXO-mediated transcription	2.23E00	1.05E-01	NaN	FOXO3,TXNIP	
Molecular Mechanisms of Cancer	2.21E00	1.4E-02	2.309	ADGRA2,ADGRG1,BCL2L1,CCND3,CDKN1A,FAS,FZD4,HES1,NFKBIA,RALBP1,RASD1,S1PR1	
PPARα/RXRα Activation	2.17E00	2.58E-02	NaN	ADIPOR2,HSP90AA1,HSP90AB1,NFKBIA,RASD1	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	2.15E00	3.23E-02	2.000	CP,IGFBP3,PNPLA2,PRSS23	
Glioma Signaling	2.14E00	3.2E-02	NaN	CAMK1D,CCND3,CDKN1A,RASD1	
Induction of Apoptosis by HIV1	2.14E00	4.62E-02	NaN	BCL2L1,FAS,NFKBIA	
Chaperone Mediated Autophagy	2.11E00	9.09E-02	NaN	HSP90AA1,HSP90AB1	
