© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Neutrophil degranulation	5.84E00	2.94E-02	-3.742	ADGRE5,ALDOA,ANXA2,CST3,CTSH,FTH1,FTL,LAMTOR1,NME2,OSTF1,PKM,TTR,TUBB,TUBB4B	
Ferroptosis Signaling Pathway	5.82E00	6.11E-02	-1.414	ARF5,FTH1,FTL,GPX4,MAPK3,NCOA4,TFRC,VDAC2	
Sirtuin Signaling Pathway	4.89E00	3.44E-02	0.333	GABARAP,H3-3A/H3-3B,LDHA,MAP1LC3A,MAPK3,NDUFA8,NDUFB8,NDUFB9,TUBA1A,VDAC2	
14-3-3-mediated Signaling	3.87E00	4.72E-02	NaN	MAPK3,NOTUM,TUBA1A,TUBB,TUBB4B,VIM	
Mitochondrial Dysfunction	3.55E00	2.62E-02	1.000	ATP1A2,COX4I1,COX5A,GPX4,MAOA,NDUFA8,NDUFB8,NDUFB9,VDAC2	
Glycolysis I	3.23E00	1.11E-01	NaN	ALDOA,GAPDH,PKM	
Oxidative Phosphorylation	3.2E00	4.46E-02	-2.236	COX4I1,COX5A,NDUFA8,NDUFB8,NDUFB9	
ESR-mediated signaling	3.09E00	4.24E-02	-2.236	CXCL12,FOSB,JUND,MAPK3,POLR2E	
trans-Golgi Network Vesicle Budding	2.95E00	5.41E-02	-2.000	CLTB,FTH1,FTL,TFRC	
Electron transport, ATP synthesis, and heat production by uncoupling proteins	2.93E00	3.91E-02	-2.236	COX4I1,COX5A,NDUFA8,NDUFB8,NDUFB9	
Gap junction trafficking and regulation	2.93E00	8.82E-02	NaN	CLTB,TUBA1A,TUBB4B	
Oncogene Induced Senescence	2.93E00	8.82E-02	NaN	ETS1,ETS2,MAPK3	
Axonal Guidance Signaling	2.91E00	1.96E-02	NaN	CXCL12,EIF3F,EIF3H,MAPK3,NOTUM,PFN1,SEMA6A,TUBA1A,TUBB,TUBB4B	
Neurotransmitter clearance	2.79E00	2E-01	NaN	ALDH2,MAOA	
NGF-stimulated transcription	2.76E00	7.69E-02	NaN	FOSB,ID2,JUND	
TP53 Regulates Metabolic Genes	2.67E00	4.55E-02	-2.000	COX4I1,COX5A,LAMTOR1,PRDX2	
Aggrephagy	2.63E00	6.98E-02	NaN	TUBA1A,TUBB4B,VIM	
Carboxyterminal post-translational modifications of tubulin	2.58E00	6.67E-02	NaN	LRRC49,TUBA1A,TUBB4B	
Coronavirus Replication Pathway	2.58E00	6.67E-02	NaN	TUBA1A,TUBB,TUBB4B	
HER-2 Signaling in Breast Cancer	2.55E00	2.64E-02	0.000	ARF5,COX4I1,COX5A,ETS1,ETS2,MAPK3	
