© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
EIF2 Signaling	2.09E01	1.17E-01	4.243	EIF3J,IGF1R,RAP1A,RPL10,RPL22,RPL23,RPL30,RPL31,Rpl34 (includes others),RPL35,RPL35A,Rpl36,Rpl36a,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29,RRAS	
Eukaryotic Translation Termination	2.09E01	2.13E-01	4.472	RPL10,RPL22,RPL23,RPL30,RPL31,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29	
Eukaryotic Translation Elongation	2.08E01	2.11E-01	4.472	RPL10,RPL22,RPL23,RPL30,RPL31,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29	
SRP-dependent cotranslational protein targeting to membrane	2.05E01	1.83E-01	4.583	RPL10,RPL22,RPL23,RPL30,RPL31,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29,SEC61G	
Response of EIF2AK4 (GCN2) to amino acid deficiency	2.01E01	1.94E-01	4.472	RPL10,RPL22,RPL23,RPL30,RPL31,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29	
Eukaryotic Translation Initiation	1.99E01	1.72E-01	4.583	EIF3J,RPL10,RPL22,RPL23,RPL30,RPL31,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29	
Selenoamino acid metabolism	1.97E01	1.87E-01	4.472	RPL10,RPL22,RPL23,RPL30,RPL31,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29	
Nonsense-Mediated Decay (NMD)	1.89E01	1.71E-01	4.472	RPL10,RPL22,RPL23,RPL30,RPL31,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29	
Major pathway of rRNA processing in the nucleolus and cytosol	1.49E01	1.08E-01	4.472	RPL10,RPL22,RPL23,RPL30,RPL31,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29	
Oxidative Phosphorylation	1.39E01	1.43E-01	4.000	COX17,COX6A1,COX6B1,Cox6c,COX7A2,COX8A,NDUFA1,NDUFA13,NDUFA3,NDUFA4,NDUFA5,NDUFA7,NDUFB4,UQCR10,UQCR11,UQCRB	
Electron transport, ATP synthesis, and heat production by uncoupling proteins	1.06E01	1.09E-01	3.742	COX6A1,COX6B1,COX8A,NDUFA1,NDUFA13,NDUFA3,NDUFA4,NDUFA5,NDUFA7,NDUFB4,NDUFC2,UQCR10,UQCR11,UQCRB	
Mitochondrial Dysfunction	8.21E00	5.23E-02	-3.771	Calm1 (includes others),COX17,COX6A1,COX6B1,Cox6c,COX7A2,COX8A,NDUFA1,NDUFA13,NDUFA3,NDUFA4,NDUFA5,NDUFA7,NDUFB4,TOMM7,UQCR10,UQCR11,UQCRB	
Semaphorin interactions	8.02E00	1.41E-01	3.000	DPYSL2,HSP90AA1,HSP90AB1,MYL12B,MYL6,NRP1,PLXNA2,RHOC,RRAS	
Estrogen Receptor Signaling	7.8E00	4.65E-02	2.530	CDKN1A,GNG11,GNG5,HSP90AA1,HSP90AB1,HSP90B1,IGF1R,MMP15,MYL12A,MYL12B,MYL6,NDUFA13,NDUFA3,NDUFA4,NDUFA5,NDUFA7,NDUFB4,RAP1A,RRAS	
Glucocorticoid Receptor Signaling	6.69E00	3.61E-02	NaN	BCL2L1,CDKN1A,FKBP4,GJA1,HSP90AA1,HSP90AB1,HSP90B1,NDUFA13,NDUFA3,NDUFA4,NDUFA5,NDUFA7,NDUFB4,NFKBIA,POLR2K,PTGES3,RAP1A,RRAS,SGK1,SMARCA2,TSC22D3	
Cellular response to heat stress	6.42E00	9.28E-02	3.000	FKBP4,HIKESHI,HSP90AA1,HSP90AB1,HSPB1,HSPH1,PTGES3,SERPINH1,ST13	
Sirtuin Signaling Pathway	6.07E00	4.81E-02	-1.732	DUSP6,GABARAPL2,HMGCS2,LDHA,NDUFA1,NDUFA13,NDUFA3,NDUFA4,NDUFA5,NDUFA7,NDUFB4,TOMM6,TOMM7,TUBA1A	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	6.05E00	1.27E-01	2.646	DYNLL1,FKBP4,HSP90AA1,HSP90AB1,PTGES3,STIP1,TUBA1A	
Telomerase Signaling	6.02E00	8.33E-02	2.236	CDKN1A,HDAC9,HSP90AA1,HSP90AB1,HSP90B1,PPP2R2D,PTGES3,RAP1A,RRAS	
mTOR Signaling	5.97E00	5.61E-02	NaN	DDIT4,EIF3J,PPP2R2D,RAP1A,RHOC,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29,RRAS	
Prostate Cancer Signaling	5.83E00	7.89E-02	NaN	CDKN1A,CDKN1B,HDAC9,HSP90AA1,HSP90AB1,HSP90B1,NFKBIA,RAP1A,RRAS	
Granzyme A Signaling	5.17E00	9.46E-02	-2.646	NDUFA1,NDUFA13,NDUFA3,NDUFA4,NDUFA5,NDUFA7,NDUFB4	
Regulation of eIF4 and p70S6K Signaling	4.95E00	5.43E-02	NaN	EIF3J,PPP2R2D,RAP1A,RPS15,RPS17,RPS21,RPS26,RPS27L,RPS29,RRAS	
HER-2 Signaling in Breast Cancer	4.91E00	4.85E-02	-1.508	CDKN1A,CDKN1B,COX17,COX6A1,COX6B1,Cox6c,COX7A2,COX8A,NFKBIA,RAP1A,RRAS	
PI3K/AKT Signaling	4.63E00	5E-02	2.333	BCL2L1,CDKN1A,CDKN1B,HSP90AA1,HSP90AB1,HSP90B1,NFKBIA,PPP2R2D,RAP1A,RRAS	
RHO GTPases activate CIT	4.56E00	2.11E-01	2.000	CDKN1B,MYL12B,MYL6,RHOC	
CXCR4 Signaling	4.46E00	5.36E-02	3.000	CXCL12,GNG11,GNG5,MYL12A,MYL12B,MYL6,RAP1A,RHOC,RRAS	
Cardiac Hypertrophy Signaling	4.35E00	4.21E-02	3.317	Calm1 (includes others),GNG11,GNG5,HSPB1,IGF1R,MYL12A,MYL12B,MYL6,RAP1A,RHOC,RRAS	
Extra-nuclear estrogen signaling	4.16E00	8.22E-02	2.449	CDKN1B,GNG11,GNG5,HSP90AA1,HSPB1,IGF1R	
Antiproliferative Role of Somatostatin Receptor 2	4.03E00	7.79E-02	0.816	CDKN1A,CDKN1B,GNG11,GNG5,RAP1A,RRAS	
TP53 Regulates Transcription of Cell Cycle Genes	3.99E00	1.02E-01	2.236	BTG2,CDKN1A,CDKN1B,PLK2,RGCC	
