© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Response of EIF2AK4 (GCN2) to amino acid deficiency	2.75E01	2.43E-01	5.000	ATF3,RPL10,RPL22,RPL23,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL36,RPL37A,RPL39,RPL41,RPLP1,RPS12,RPS15,RPS15A,RPS19,RPS21,RPS23,RPS24,RPS26,RPS27,RPS28,RPS29	
Eukaryotic Translation Termination	2.7E01	2.55E-01	4.899	RPL10,RPL22,RPL23,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL36,RPL37A,RPL39,RPL41,RPLP1,RPS12,RPS15,RPS15A,RPS19,RPS21,RPS23,RPS24,RPS26,RPS27,RPS28,RPS29	
Eukaryotic Translation Elongation	2.69E01	2.53E-01	4.899	RPL10,RPL22,RPL23,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL36,RPL37A,RPL39,RPL41,RPLP1,RPS12,RPS15,RPS15A,RPS19,RPS21,RPS23,RPS24,RPS26,RPS27,RPS28,RPS29	
Selenoamino acid metabolism	2.55E01	2.24E-01	4.899	RPL10,RPL22,RPL23,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL36,RPL37A,RPL39,RPL41,RPLP1,RPS12,RPS15,RPS15A,RPS19,RPS21,RPS23,RPS24,RPS26,RPS27,RPS28,RPS29	
SRP-dependent cotranslational protein targeting to membrane	2.47E01	2.09E-01	4.899	RPL10,RPL22,RPL23,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL36,RPL37A,RPL39,RPL41,RPLP1,RPS12,RPS15,RPS15A,RPS19,RPS21,RPS23,RPS24,RPS26,RPS27,RPS28,RPS29	
Nonsense-Mediated Decay (NMD)	2.45E01	2.05E-01	4.899	RPL10,RPL22,RPL23,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL36,RPL37A,RPL39,RPL41,RPLP1,RPS12,RPS15,RPS15A,RPS19,RPS21,RPS23,RPS24,RPS26,RPS27,RPS28,RPS29	
Eukaryotic Translation Initiation	2.4E01	1.97E-01	4.899	RPL10,RPL22,RPL23,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL36,RPL37A,RPL39,RPL41,RPLP1,RPS12,RPS15,RPS15A,RPS19,RPS21,RPS23,RPS24,RPS26,RPS27,RPS28,RPS29	
EIF2 Signaling	2.32E01	1.26E-01	3.500	ATF3,RASD1,RPL10,RPL22,Rpl22l1,RPL23,RPL28,RPL30,RPL31,Rpl34 (includes others),RPL35,RPL35A,RPL36,Rpl36a,RPL37A,RPL39,RPL41,RPLP1,RPS12,RPS15,RPS15A,RPS19,RPS21,RPS23,RPS24,RPS26,RPS27,RPS28,RPS29	
Major pathway of rRNA processing in the nucleolus and cytosol	1.95E01	1.29E-01	4.899	RPL10,RPL22,RPL23,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL36,RPL37A,RPL39,RPL41,RPLP1,RPS12,RPS15,RPS15A,RPS19,RPS21,RPS23,RPS24,RPS26,RPS27,RPS28,RPS29	
mTOR Signaling	9.5E00	7.48E-02	NaN	DDIT4,PPP2R2D,RASD1,RHOB,RHOC,RPS12,RPS15,RPS15A,RPS19,RPS21,RPS23,RPS24,RPS26,RPS27,RPS28,RPS29	
