© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
SRP-dependent cotranslational protein targeting to membrane	2.93E01	2.35E-01	5.196	RPL10,RPL22,RPL23,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29,SEC61G,SPCS1	
Eukaryotic Translation Termination	2.86E01	2.66E-01	5.000	RPL10,RPL22,RPL23,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
Eukaryotic Translation Elongation	2.85E01	2.63E-01	5.000	RPL10,RPL22,RPL23,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
Response of EIF2AK4 (GCN2) to amino acid deficiency	2.75E01	2.43E-01	5.000	RPL10,RPL22,RPL23,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
Selenoamino acid metabolism	2.7E01	2.34E-01	5.000	RPL10,RPL22,RPL23,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
Nonsense-Mediated Decay (NMD)	2.6E01	2.14E-01	5.000	RPL10,RPL22,RPL23,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
EIF2 Signaling	2.57E01	1.35E-01	4.243	IGF1R,RASD1,RPL10,RPL22,Rpl22l1,RPL23,RPL27A,RPL28,RPL30,RPL31,Rpl34 (includes others),RPL35,RPL35A,Rpl36,Rpl36a,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
Eukaryotic Translation Initiation	2.55E01	2.05E-01	5.000	RPL10,RPL22,RPL23,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
Major pathway of rRNA processing in the nucleolus and cytosol	2.07E01	1.34E-01	5.000	RPL10,RPL22,RPL23,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
Oxidative Phosphorylation	1.39E01	1.43E-01	4.000	COX17,COX6A1,COX6B1,Cox6c,COX7A2,COX8A,NDUFA1,NDUFA13,NDUFA3,NDUFA4,NDUFA7,NDUFB4,NDUFB7,UQCR10,UQCR11,UQCRB	
Electron transport, ATP synthesis, and heat production by uncoupling proteins	1.29E01	1.25E-01	4.000	COX6A1,COX6B1,COX8A,NDUFA1,NDUFA13,NDUFA3,NDUFA4,NDUFA7,NDUFB4,NDUFB7,NDUFC1,NDUFC2,UCP2,UQCR10,UQCR11,UQCRB	
Mitochondrial Dysfunction	9.77E00	5.81E-02	-4.472	ACADL,COX17,COX6A1,COX6B1,Cox6c,COX7A2,COX8A,GSTP1,NDUFA1,NDUFA13,NDUFA3,NDUFA4,NDUFA7,NDUFB4,NDUFB7,TOMM7,UCP2,UQCR10,UQCR11,UQCRB	
Sirtuin Signaling Pathway	7.58E00	5.5E-02	-1.941	ACADL,DUSP6,HMGCS2,NDRG1,NDUFA1,NDUFA13,NDUFA3,NDUFA4,NDUFA7,NDUFB4,NDUFB7,PAM16,SLC2A1,TOMM6,TOMM7,UCP2	
mTOR Signaling	6.75E00	6.07E-02	NaN	DDIT4,PPP2R2D,RASD1,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
Regulation of eIF4 and p70S6K Signaling	6.61E00	6.52E-02	NaN	PPP2R2D,RASD1,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
Coronavirus Pathogenesis Pathway	5.3E00	5.39E-02	-2.714	NFKBIA,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS21,RPS23,RPS26,RPS28,RPS29	
Granzyme A Signaling	5.13E00	9.46E-02	-2.646	NDUFA1,NDUFA13,NDUFA3,NDUFA4,NDUFA7,NDUFB4,NDUFB7	
