© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
RHO GTPase cycle	9.58E00	5.33E-02	4.899	ACTB,AKAP12,ARHGAP31,ARHGEF12,BAIAP2,CDC42EP4,DLC1,DOCK9,FERMT2,HSP90AA1,HSP90AB1,HSPE1,JUP,MCF2L,MSI2,NET1,PLEKHG1,RALBP1,RHOB,SPTAN1,SPTBN1,STARD8,TIAM1,WASF2	
Signaling by VEGF	8.53E00	1.11E-01	3.464	ACTB,BAIAP2,CTNNB1,ELMO1,FLT1,HSP90AA1,HSPB1,JUP,PLCG1,PRKACB,PRKCB,WASF2	
Semaphorin interactions	7.45E00	1.41E-01	3.000	ARHGEF12,DPYSL2,HSP90AA1,HSP90AB1,MYH9,MYL9,PLXNA2,RHOB,SEMA7A	
Chronic Myeloid Leukemia Signaling	6.25E00	5.4E-02	3.357	BCL2L1,CDKN1A,CTNNB1,FZD4,HES1,HSP90AA1,HSP90AB1,KLF4,MSI2,NOTCH1,NOTCH4,PLCB1,PLCG1,TCF4,TRIB2	
eNOS Signaling	5.84E00	7.05E-02	1.134	FLT1,GNAS,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NOSTRIN,PLCG1,PRKACB,PRKCB,SLC7A1	
Eicosanoid Signaling	5.48E00	5E-02	3.742	ABCC9,ATP2A2,CTNNB1,GNAS,GNG11,HSPB1,KLF4,PLCB1,PLCG1,PNPLA2,PRKACB,PRKCB,RAPGEF4,TCF4	
Estrogen Receptor Signaling	5.44E00	4.16E-02	3.051	CDK8,CDKN1A,GNAS,GNG11,HES1,HSP90AA1,HSP90AB1,IGF1R,MPRIP,MYL9,NDUFA4L2,NDUFA7,NOTCH1,PLCB1,PLCG1,PRKACB,PRKCB	
Dilated Cardiomyopathy Signaling Pathway	5.15E00	6.67E-02	0.707	ABCC9,ACTB,ATP2A2,GNAS,MYH9,MYL9,MYO10,PDE2A,PRKACB,UTRN	
Cellular Effects of Sildenafil (Viagra)	5.15E00	6.67E-02	NaN	ACTB,GNAS,MPRIP,MYH9,MYL9,MYO10,PDE2A,PLCB1,PLCG1,PRKACB	
Epithelial Adherens Junction Signaling	4.95E00	6.33E-02	1.667	BAIAP2,CTNNB1,IGF1R,LATS2,NOTCH1,NOTCH4,PPP2R2D,TCF4,TIAM1,TNS1	
Actin Cytoskeleton Signaling	4.71E00	4.92E-02	2.333	ACTB,ACTN4,ARHGEF12,BAIAP2,ITGA6,MPRIP,MYH9,MYL9,MYO10,PDGFB,TIAM1,WASF2	
Aldosterone Signaling in Epithelial Cells	4.63E00	5.81E-02	NaN	ABCC9,DUSP1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPB1,HSPE1,PLCB1,PLCG1,PRKCB	
RHOGDI Signaling	4.43E00	5E-02	-2.646	ACTB,ARHGEF12,DLC1,GNAS,GNG11,ITGA6,MYH9,MYL9,MYO10,RHOB,WASF2	
G-Protein Coupled Receptor Signaling	4.38E00	2.99E-02	1.964	ADGRF5,ADGRL4,CTNNB1,DUSP1,DUSP6,FZD4,GNAS,GNG11,LATS2,MAP3K6,MEGF6,MYL9,PDE2A,PLCB1,PLCG1,PRKACB,PRKCB,RAPGEF4,RGS12,RGS4,S1PR1	
Nitric Oxide Signaling in the Cardiovascular System	4.23E00	6.67E-02	1.134	ATP2A2,FLT1,HSP90AA1,HSP90AB1,PDE2A,PRKACB,PRKCB,SLC7A1	
Axonal Guidance Signaling	4.21E00	3.33E-02	NaN	ARHGEF12,BAIAP2,CXCL12,DPYSL2,FZD4,GNAS,GNG11,ITGA6,MYL9,PDGFB,PLCB1,PLCG1,PLXNA2,PRKACB,PRKCB,SEMA3C,SEMA7A	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	4.18E00	5.15E-02	NaN	CCN2,COL4A1,ECE1,FLT1,IGF1R,KLF6,MYH9,MYL9,MYO10,PDGFB	
Fcgamma receptor (FCGR) dependent phagocytosis	4.17E00	5.73E-02	3.000	ACTB,BAIAP2,ELMO1,HSP90AA1,HSP90AB1,MYH9,MYO10,PLCG1,WASF2	
RHOA Signaling	4.13E00	6.45E-02	1.414	ACTB,ARHGEF12,BAIAP2,CDC42EP4,DLC1,IGF1R,MPRIP,MYL9	
Myelination Signaling Pathway	4.09E00	3.98E-02	1.941	CTNNB1,DLC1,FZD4,IGF1R,ITGA6,NDRG1,NOTCH1,PDGFB,PLCG1,PRKACB,SLC2A1,TCF4,XAF1	
ILK Signaling	4.06E00	4.98E-02	2.121	ACTB,ACTN4,CTNNB1,FERMT2,MYH9,MYL9,MYO10,PARVB,PPP2R2D,RHOB	
HIF1α Signaling	3.92E00	4.78E-02	1.897	ADM,CDKN1A,FLT1,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,PDGFB,PLCG1,PRKCB,SLC2A1	
Integration of energy metabolism	3.82E00	6.8E-02	2.449	ADIPOR2,GNAS,GNG11,PLCB1,PRKACB,RAPGEF4,SLC2A1	
Tight Junction Signaling	3.72E00	5E-02	NaN	ACTB,CTNNB1,MYH9,MYL9,MYO10,PPP2R2D,PRKACB,SPTAN1,TIAM1	
Signaling by Rho Family GTPases	3.68E00	4.12E-02	2.828	ACTB,ARHGEF12,BAIAP2,CDC42EP4,CLIP1,GNAS,GNG11,ITGA6,MAP3K20,MYL9,RHOB	
