© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
RHO GTPase cycle	2.35E01	1.73E-01	8.832	ABL2,ADD3,AKAP13,ARAP2,ARHGAP18,ARHGAP26,ARHGAP29,ARHGAP31,ARHGAP32,ARHGAP6,ARHGEF11,ARHGEF12,ARHGEF3,BCR,CDC42BPA,CDC42BPB,CHN2,CUL3,DAAM1,DLC1,DOCK1,DOCK4,DOCK6,DOCK9,ERBIN,FAM135A,FARP1,FGD5,FILIP1,FMNL2,FRS2,GIT2,GJA1,HNRNPC,ITSN2,KALRN,KIDINS220,MCF2L,MPP7,MSI2,MTR,MYO6,MYO9A,NCKAP1,OPHN1,PDE5A,PHIP,PICALM,PIK3CA,PIK3R1,PIK3R3,PKN1,PKP4,PLEKHG1,PREX2,RALGAPA1,RAPGEF1,RASAL2,RHOBTB1,RHOJ,ROCK1,ROCK2,SH3RF1,SLK,SOS1,SOS2,SPATA13,SPEN,SPTAN1,SPTBN1,SRGAP1,SRGAP2,STARD13,TIAM1,TJP2,TRIO,USP9X,WIPF1	
PTEN Signaling	1.32E01	2.19E-01	-4.914	AKT3,BCL2,BCL2L1,BMPR2,CBL,CCND1,CNKSR3,FGFR2,FLT1,FLT4,FOXO1,FOXO3,GHR,IGF1R,INPP5F,INSR,ITGA1,ITGA6,KDR,MAGI1,MAGI3,MAST2,NFKB1,PIK3CA,PIK3R1,PIK3R3,PREX2,PTK2,RPS6KB1,SOS1,SOS2,TGFBR2,TGFBR3	
Chronic Myeloid Leukemia Signaling	1.27E01	1.62E-01	5.814	ABCB1,ABL1,AKT3,BCL2,BCL2L1,CCND1,CRKL,FOXO3,FZD6,GAB2,HDAC4,HDAC7,HDAC8,HDAC9,JAK2,LEF1,MECOM,MSI2,NFAT5,NFKB1,NOTCH1,NUMB,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,RB1,RBL2,RPTOR,SMAD3,SOS1,SOS2,SPRED1,STAT3,TCF4,TCF7L2,TGFB2,TGFBR2,USP7,XIAP	
Cardiac Hypertrophy Signaling (Enhanced)	1.26E01	1.24E-01	7.070	ACVR2A,ADCY9,AKAP13,AKT3,ATF2,ATF6,BMPR2,CACNA1E,Diaph2,DLG1,FGF13,FGFR2,FZD6,GHR,GNAQ,HDAC4,HDAC7,HDAC8,HDAC9,IGF1R,INPP5F,ITGA1,ITGA6,ITPR1,ITPR2,JAK2,MAP2K5,MAP2K6,MAP3K1,MAP3K2,MAP3K20,MAP3K3,MAPK8,MEF2A,MEF2C,NFAT5,NFKB1,PDE10A,PDE4B,PDE5A,PDE7B,PDE8A,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PKN1,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,PRKACB,PRKCB,PRKCE,PRKCH,PRKD1,PRKD3,PRKG1,PTK2,ROCK1,ROCK2,RPS6KB1,STAT3,TGFB2,TGFBR2,TGFBR3	
Myelination Signaling Pathway	1.19E01	1.47E-01	4.041	ACVR2A,AKT3,APC,ARHGAP6,ATF2,BMPR2,BRAF,CHD8,CREBBP,DLC1,FGFR2,FZD6,HDAC4,HDAC7,HDAC8,HDAC9,IGF1R,ITGA6,LAMA4,LAMC1,NFKB1,NOTCH1,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PPP3CA,PPP3CC,PRKACB,PTK2,PTPRA,RAPGEF2,ROCK1,ROCK2,RPS6KB1,RPTOR,SLC16A1,SMAD1,SMAD3,SMAD5,SMAD6,SMARCA4,SOS1,SOS2,TCF4,TCF7L2	
Hepatic Fibrosis Signaling Pathway	1.18E01	1.32E-01	5.940	ACVR2A,AKT3,APC,ATF2,BCL2,BMPR2,BRAF,CACNA1E,CCND1,CREBBP,CSNK1G1,FLT1,FLT4,FOXO1,FZD6,ITGA1,ITGA6,JAK1,JAK2,KDR,LEF1,LEPR,LRP5,MAP2K5,MAP2K6,MAPK8,NFKB1,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PRKACB,PRKCB,PRKCE,PRKCH,PRKD1,PRKD3,PTK2,RHOBTB1,RHOJ,ROCK1,ROCK2,RPS6KB1,SMAD3,SOS1,SOS2,SP1,STAT3,TCF4,TCF7L2,TGFB2,TGFBR2,TGFBR3,TRPM7	
HGF Signaling	1.17E01	2.2E-01	5.000	AKT3,ATF2,CCND1,CRKL,DOCK1,ELF2,ETS1,GAB1,ITGA1,ITGA6,MAP3K1,MAP3K2,MAP3K3,MAPK8,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PRKCB,PRKCE,PRKCH,PRKD1,PRKD3,PTK2,RAPGEF1,SOS1,SOS2,STAT3	
Protein Kinase A Signaling	1.13E01	1.31E-01	2.832	ADCY9,ADD3,AKAP10,AKAP11,AKAP13,AKAP7,ATF2,BRAF,CREBBP,DUSP3,EYA3,FLNB,GNAQ,ITPR1,ITPR2,LEF1,MAP3K1,MTMR3,MYH10,NFAT5,NFKB1,PDE10A,PDE4B,PDE5A,PDE7B,PDE8A,PHKB,PLCB1,PLCB4,PLCG1,PPP1R12A,PPP3CA,PPP3CC,PRKACB,PRKCB,PRKCE,PRKCH,PRKD1,PRKD3,PTK2,PTPN14,PTPN4,PTPRA,PTPRB,PTPRG,PTPRK,PTPRM,ROCK1,ROCK2,SMAD3,TCF4,TCF7L2,TGFB2,TGFBR2	
Gap Junction Signaling	1.03E01	1.38E-01	1.938	ADCY9,AKT3,ATF2,CCND1,CREBBP,CSNK1G1,DLG1,GJA1,GNAQ,ITPR1,ITPR2,LEF1,LRP5,MAP2K5,MAP3K2,MAPK8,NFKB1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,PRKACB,PRKCB,PRKCE,PRKCH,PRKD1,PRKD3,PRKG1,PTPRM,SMAD1,SMAD3,SMAD5,SMARCC2,SOS1,SOS2,SP1,TCF4,TCF7L2,TJP1,TJP2	
Role of NFAT in Cardiac Hypertrophy	1.02E01	1.61E-01	5.112	ADCY9,AKT3,CACNA1E,GNAQ,HDAC4,HDAC7,HDAC8,HDAC9,IGF1R,ITPR1,ITPR2,MAP2K6,MAP3K1,MAPK8,MEF2A,MEF2C,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,PRKACB,PRKCB,PRKCE,PRKCH,PRKD1,PRKD3,RCAN2,SOS1,SOS2,TGFB2,TGFBR2	
