© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Elongation	9.07E01	6.42E-01	-7.810	EEF1A1,EEF1B2,EEF1D,EEF2,FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL5,RPL6,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9	
Eukaryotic Translation Termination	8.25E01	6.06E-01	-7.550	FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL5,RPL6,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9	
Eukaryotic Translation Initiation	8.11E01	5E-01	-7.810	EIF3E,EIF3F,EIF3H,EIF4A1,FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL5,RPL6,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9	
Response of EIF2AK4 (GCN2) to amino acid deficiency	7.92E01	5.53E-01	-7.550	FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL5,RPL6,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9	
Selenoamino acid metabolism	7.78E01	5.33E-01	-7.550	FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL5,RPL6,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9	
SRP-dependent cotranslational protein targeting to membrane	7.73E01	5.04E-01	-7.616	FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL5,RPL6,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,SEC61G	
Nonsense-Mediated Decay (NMD)	7.48E01	4.87E-01	-7.550	FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL5,RPL6,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9	
EIF2 Signaling	7.14E01	2.96E-01	-6.083	ACTB,EIF3E,EIF3F,EIF3H,EIF4A1,FAU,RASD1,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,Rpl22l1,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,Rpl34 (includes others),RPL35,RPL35A,Rpl36,Rpl36a,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL5,RPL6,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RRAS	
Major pathway of rRNA processing in the nucleolus and cytosol	6.06E01	3.06E-01	-7.550	FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL5,RPL6,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9	
mTOR Signaling	2.44E01	1.54E-01	-2.236	EIF3E,EIF3F,EIF3H,EIF4A1,FAU,RASD1,RHEB,RHOA,RHOB,RHOG,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RRAS	
