© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Pulmonary Fibrosis Idiopathic Signaling Pathway	1.3E01	1.87E-01	-6.197	ACVR1,ACVR2A,ADAM10,ADAMTS1,AKT2,AKT3,BRAF,CAV1,CDH2,EED,EPHB4,FGFR2,FN1,FOS,FOXO1,FZD6,GNA12,IL11RA,IL6ST,ITGAV,JARID2,JUN,LATS1,LEF1,MAP2K4,MAPK8,MMP28,MRTFA,MTOR,NFKB1,PDGFA,PDGFD,PEX13,PIK3CA,PIK3CB,PIK3R3,POLR2A,PTEN,PTK2,RAF1,RALB,RAP2B,RELB,RPS6KA3,RPS6KA5,RPS6KB1,RRAS2,SMAD2,SMAD3,SOS2,STAT3,STK38,TCF7L1,TCF7L2,TGFA,TGFB2,TGFBR1,TGFBR3,TP53,WNT5A,YAP1	
Role of Tissue Factor in Cancer	1.27E01	2.22E-01	-5.603	ACVR1,ACVR2A,AKT2,AKT3,BRAF,CSF1,FOS,GNA12,GNAQ,ITGA3,ITGA6,ITGAV,JUN,KDR,LYN,MAP2K4,MAP2K5,MAPK6,MAPK8,MTOR,NFKB1,PIK3CA,PIK3CB,PIK3R3,PLCB1,PPP2R3A,PPP2R5A,PTEN,PTK2,RAF1,RALB,RAP2B,RB1,RPS6KA3,RPS6KA5,RPS6KB1,RRAS2,TGFA,TGFB2,TGFBR1,TGFBR3,TNFRSF1A,TNFRSF1B,TP53,YES1,ZEB1	
Hepatic Fibrosis Signaling Pathway	1.17E01	1.63E-01	-6.530	ACVR1,ACVR2A,AKT2,AKT3,AXIN1,BRAF,CACNA1A,CD40,CREB1,CSNK1G1,CSNK1G3,FOS,FOXO1,FZD6,HIF1A,ICAM1,IL1R1,IRAK3,IRAK4,ITGA1,ITGA3,ITGA5,ITGA6,ITGAV,JUN,KDR,LEF1,LRP6,MAP2K4,MAP2K5,MAPK8,MTOR,NFKB1,PDGFA,PDGFD,PIK3CA,PIK3CB,PIK3R3,PRKAR2B,PRKCH,PRKD1,PTEN,PTK2,RAF1,RALB,RAP2B,RELB,RHOBTB1,RHOJ,RPS6KB1,RRAS2,SMAD2,SMAD3,SOS2,STAT3,TCF7L1,TCF7L2,TFRC,TGFB2,TGFBR1,TGFBR3,TIRAP,TNFRSF1A,TNFRSF1B,TRADD,TRPM7,VCAM1,WNT5A,YAP1	
Apelin Endothelial Signaling Pathway	1.06E01	2.41E-01	-5.112	ADCY9,AKT2,AKT3,ARNT,FOS,GNA12,GNAQ,GNG12,HIF1A,ICAM1,JUN,MAP2K4,MAPK8,MEF2C,MTOR,NFKB1,NOS3,PIK3CA,PIK3CB,PIK3R3,PLCB1,PLCB3,PLCB4,PRKCH,PRKD1,RAF1,RALB,RAP2B,RELB,RPS6KB1,RRAS2,SMAD3,TEK,VCAM1	
RHO GTPase cycle	1.04E01	1.53E-01	-8.307	ABCD3,ACTN1,ADD3,AKAP13,ANKLE2,ARHGAP12,ARHGAP17,ARHGAP18,ARHGAP21,ARHGAP23,ARHGAP26,ARHGAP35,ARHGEF18,ARHGEF28,ARHGEF5,CAV1,CDC42BPA,CDC42EP5,CHN2,CPD,CPNE8,DIAPH1,DOCK4,ERBIN,ESYT1,FAM135A,FAM13B,FARP1,FLOT1,FMNL2,FMNL3,GFOD1,IQGAP1,ITSN1,KALRN,LEMD3,MACO1,MPP7,MYO6,MYO9A,OPHN1,OSBPL11,PHIP,PIK3CA,PIK3R3,PREX2,RALGAPA1,RASAL2,RASGRF2,RHOBTB1,RHOJ,RRAS2,SCFD1,SH3RF1,SOS2,SRGAP1,SRGAP2,STK38,STX5,SWAP70,SYDE1,TFRC,TJP2,TMOD3,UACA,VRK2,WDR11,WHAMM,WIPF2	
PTEN Signaling	1.04E01	2.32E-01	4.017	AKT2,AKT3,BAD,CNKSR3,FGFR2,FOXO1,GHR,INPP5D,ITGA1,ITGA3,ITGA5,ITGA6,ITGAV,KDR,MAGI1,MAGI3,MAST2,NFKB1,PIK3CA,PIK3CB,PIK3R3,PREX2,PTEN,PTK2,RAF1,RALB,RAP2B,RELB,RPS6KB1,RRAS2,SOS2,SYNJ1,TGFBR1,TGFBR3,TNFRSF11A	
Cardiac Hypertrophy Signaling (Enhanced)	1.03E01	1.44E-01	-7.951	ACVR1,ACVR2A,ADCY9,AKAP13,AKT2,AKT3,CACNA1A,CAMK2D,DIAPH1,Diaph2,DLG1,FGFR2,FZD6,GHR,GNA12,GNAQ,GNG12,HDAC7,HDAC8,IFNAR1,IL11RA,IL15,IL17RD,IL1R1,IL2RG,IL6R,IL6ST,ITGA1,ITGA3,ITGA5,ITGA6,ITGAV,ITPR1,ITPR3,JUN,MAP2K4,MAP2K5,MAP3K3,Map3k7,MAP3K8,MAPK8,MEF2C,MTOR,NFAT5,NFATC3,NFKB1,NPR1,PDE4B,PDE7A,PDE7B,PIK3CA,PIK3CB,PIK3R3,PLCB1,PLCB3,PLCB4,PPP3CB,PRKAR2B,PRKCH,PRKD1,PRKG1,PTEN,PTK2,RAF1,RALB,RAP2B,RELB,RPS6KA5,RPS6KB1,RRAS2,STAT3,TGFB2,TGFBR1,TGFBR3,TNFRSF1A,TNFRSF1B,TNFSF10,WNT5A	
PI3K/AKT Signaling	1.03E01	2.05E-01	-1.400	AKT2,AKT3,BAD,FOXO1,GAB1,GAB2,GHR,IFNAR1,IL11RA,IL17RD,IL1R1,IL2RG,IL6R,IL6ST,INPP5D,ITGA1,ITGA3,ITGA5,ITGA6,ITGAV,LIMS1,MAP3K8,MTOR,NFKB1,NOS3,PIK3CA,PIK3CB,PIK3R3,PPM1L,PPP2R3A,PPP2R5A,PTEN,RAF1,RALB,RAP2B,RELB,RPS6KB1,RRAS2,SOS2,SYNJ1,TP53	
Autophagy	1.02E01	1.98E-01	-3.395	AKT2,AKT3,AMBRA1,ARNT,ATG10,ATG16L1,BAD,BIRC6,CREB1,ERN1,FOS,FOXO1,GORASP2,HIF1A,JUN,LAMP2,MAP2K4,MAPK8,MTOR,NFKB1,PIK3CA,PIK3CB,PIK3R3,PPM1L,PPP2R3A,PPP2R5A,PPP3CB,PRKAR2B,PTEN,RAF1,RALB,RIPK2,RPTOR,TFEB,TGFA,TGFB2,TNFRSF1A,TNFRSF1B,TP53,ULK1,UVRAG,VPS11,WIPI1	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	9.67E00	2.03E-01	-5.516	AKT2,AKT3,BRAF,CDH2,ETS1,FGFR2,FOS,FOXO1,GAB1,ID2,IL6R,JUN,LATS1,MAP2K4,MAP2K5,MAPK8,MTOR,NFKB1,PDGFA,PDGFD,PIK3CA,PIK3CB,PIK3R3,RAF1,RALB,RAP2B,RELB,RRAS2,SMAD2,SMAD3,SOS2,STAT3,TGFB2,TGFBR1,TNFRSF1A,TNFRSF1B,TNFSF10,YAP1,ZEB1	
