© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Elongation	2.04E01	2.11E-01	-4.472	EEF1A1,EEF1B2,EEF2,RPL13,RPL13A,RPL14,RPL18,RPL3,RPL4,RPL7,RPL8,RPLP0,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS9,RPSA	
Eukaryotic Translation Initiation	1.81E01	1.64E-01	-4.472	CP,EIF3E,PABPC1,RPL13,RPL13A,RPL14,RPL18,RPL3,RPL4,RPL7,RPL8,RPLP0,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS9,RPSA	
Eukaryotic Translation Termination	1.62E01	1.81E-01	-4.123	RPL13,RPL13A,RPL14,RPL18,RPL3,RPL4,RPL7,RPL8,RPLP0,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS9,RPSA	
Nonsense-Mediated Decay (NMD)	1.58E01	1.54E-01	-4.243	PABPC1,RPL13,RPL13A,RPL14,RPL18,RPL3,RPL4,RPL7,RPL8,RPLP0,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS9,RPSA	
Response of EIF2AK4 (GCN2) to amino acid deficiency	1.55E01	1.65E-01	-4.123	RPL13,RPL13A,RPL14,RPL18,RPL3,RPL4,RPL7,RPL8,RPLP0,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS9,RPSA	
Selenoamino acid metabolism	1.52E01	1.59E-01	-4.123	RPL13,RPL13A,RPL14,RPL18,RPL3,RPL4,RPL7,RPL8,RPLP0,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS9,RPSA	
SRP-dependent cotranslational protein targeting to membrane	1.47E01	1.48E-01	-4.123	RPL13,RPL13A,RPL14,RPL18,RPL3,RPL4,RPL7,RPL8,RPLP0,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS9,RPSA	
EIF2 Signaling	1.27E01	8.7E-02	-3.317	EIF3E,PABPC1,RALB,RPL13,RPL13A,RPL14,RPL18,RPL3,RPL4,RPL7,RPL8,RPLP0,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS9,RPSA	
Major pathway of rRNA processing in the nucleolus and cytosol	1.12E01	9.14E-02	-4.123	RPL13,RPL13A,RPL14,RPL18,RPL3,RPL4,RPL7,RPL8,RPLP0,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS9,RPSA	
Interleukin-4 and Interleukin-13 signaling	8.94E00	1.09E-01	-3.464	HIF1A,ICAM1,IL6R,JUNB,LBP,LCN2,MAOA,PTGS2,SOCS3,STAT3,VCAM1,VIM	
Tumor Microenvironment Pathway	8.42E00	7.82E-02	-2.496	CSF1,HIF1A,HLA-A,HLA-E,ICAM1,IL6R,PDGFA,PTGS2,RALB,RELB,STAT3,TGFB2,TNFRSF1A,VEGFC	
Coronavirus Pathogenesis Pathway	7.69E00	6.86E-02	2.138	EEF1A1,HIF1A,IL17RA,PTGS2,RELB,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS9,RPSA,STAT3	
Acute Phase Response Signaling	7.3E00	7.03E-02	-2.530	CP,IL1R1,IL6R,IL6ST,LBP,NR3C1,OSMR,RALB,RELB,SOCS3,STAT3,TNFRSF1A,VWF	
IL-27 Signaling Pathway	7.15E00	8.59E-02	-1.508	B2M,ENTPD1,HLA-A,HLA-E,IL1R1,IL6ST,PTGS2,RELB,SOCS3,STAT3,TNFRSF1A	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	7.06E00	6.7E-02	NaN	CSF1,CYP2E1,EDN1,ICAM1,IL1R1,IL6R,LBP,PDGFA,RELB,TGFB2,TNFRSF1A,VCAM1,VEGFC	
Role of JAK family kinases in IL-6-type Cytokine Signaling	7.01E00	1.14E-01	-2.333	IL6R,IL6ST,JUNB,LBP,OSMR,SOCS3,STAT3,TGFB2,VEGFC	
mTOR Signaling	6.56E00	6.07E-02	-2.000	EIF3E,HIF1A,RALB,RPS11,RPS2,RPS20,RPS3,RPS4Y1,RPS6,RPS6KA5,RPS9,RPSA,VEGFC	
Interleukin-10 signaling	6.52E00	1.56E-01	-2.646	CCL19,CSF1,ICAM1,IL1R1,PTGS2,STAT3,TNFRSF1A	
Hepatic Fibrosis Signaling Pathway	6.52E00	4.26E-02	-4.123	EDN1,FTH1,GLIS2,HIF1A,ICAM1,IL17RA,IL1R1,IRAK3,PDGFA,RALB,RELB,STAT3,TFRC,TGFB2,TNFRSF1A,VCAM1,VEGFC,WNT5A	
IL-10 Signaling	6.34E00	7.14E-02	1.508	BCL3,HIF1A,HLA-A,HLA-E,ICAM1,IL1R1,IL6R,IL6ST,RELB,SOCS3,STAT3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	5.82E00	4.5E-02	NaN	CSF1,ICAM1,IL17RA,IL1R1,IL6R,IL6ST,IRAK3,PDGFA,RALB,SOCS3,STAT3,TNFRSF1A,VCAM1,VEGFC,WNT5A	
