© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
ID1 Signaling Pathway	6.05E00	5.47E-02	-1.508	ATF3,BHLHE40,CAV1,EGR1,ETS1,FN1,MAPK3,MCAM,PIK3R3,TGFB2,VEGFC	
Extra-nuclear estrogen signaling	5.64E00	9.59E-02	-2.646	CAV1,FOS,GNGT2,HBEGF,MAPK3,NOS3,PIK3R3	
Corticotropin Releasing Hormone Signaling	5.32E00	5.92E-02	-2.646	FOS,GNAQ,ITPR1,JUN,MAPK3,MEF2C,NOS1,NOS3,NR4A1	
Role of Tissue Factor in Cancer	5.07E00	4.83E-02	-3.162	CCN1,EGR1,FOS,GNAQ,HBEGF,JUN,MAPK3,PIK3R3,TGFB2,VEGFC	
HIF1α Signaling	5.03E00	4.78E-02	-1.897	CAMK1D,EDN1,HSPA1A/HSPA1B,JUN,MAPK3,PDGFB,PIK3R3,SAT1,TGFB2,VEGFC	
NGF-stimulated transcription	4.79E00	1.28E-01	-2.236	EGR1,EGR3,FOS,FOSB,JUNB	
Pulmonary Fibrosis Idiopathic Signaling Pathway	4.77E00	3.68E-02	-2.309	ADAMTS1,CAV1,EDN1,EGR1,FN1,FOS,HES1,JUN,MAPK3,PDGFB,PIK3R3,TGFB2	
Chronic Myeloid Leukemia Signaling	4.7E00	3.96E-02	-2.111	CCND2,FOS,HDAC7,HES1,JUN,MAPK3,MECOM,NFAT5,NUMB,PIK3R3,TGFB2	
MSP-RON Signaling in Cancer Cells Pathway	4.68E00	5.71E-02	-2.828	ETS1,ETS2,FOS,JUN,MAPK3,PIK3R3,TRIM24,VEGFC	
Apelin Endothelial Signaling Pathway	4.66E00	5.67E-02	-2.646	FOS,GNAQ,JUN,MAPK3,MEF2C,NOS3,PIK3R3,TEK	
Endocannabinoid Cancer Inhibition Pathway	4.53E00	5.44E-02	0.707	ATF3,CCND2,GNAQ,MAPK3,NOS1,NOS3,PIK3R3,VEGFC	
Endothelin-1 Signaling	4.48E00	4.64E-02	-3.000	EDN1,FOS,GNAQ,ITPR1,JUN,MAPK3,NOS1,NOS3,PIK3R3	
Senescence Pathway	4.41E00	3.68E-02	-2.333	ATF3,BHLHE40,CCND2,ETS1,ETS2,GADD45G,JUN,MAPK3,NFAT5,PIK3R3,TGFB2	
eNOS Signaling	4.34E00	5.13E-02	-1.134	CAV1,GNAQ,HSPA1A/HSPA1B,ITPR1,LPAR6,NOS3,PIK3R3,VEGFC	
Renal Cell Carcinoma Signaling	4.32E00	7.59E-02	-2.236	ETS1,FOS,JUN,MAPK3,PDGFB,PIK3R3	
Clathrin-mediated Endocytosis Signaling	4.24E00	4.33E-02	NaN	AP1S2,AP2A2,Ap2b1,MYO1E,NUMB,PDGFB,PIK3R3,SH3KBP1,VEGFC	
Cholecystokinin/Gastrin-mediated Signaling	4.24E00	5.88E-02	-2.646	EPHA4,FOS,GNAQ,ITPR1,JUN,MAPK3,MEF2C	
IL-8 Signaling	4.21E00	4.29E-02	-2.828	CCND2,FOS,GNAQ,HBEGF,JUN,MAPK3,PIK3R3,TEK,VEGFC	
PDGF Signaling	4.09E00	6.9E-02	-1.633	CAV1,FOS,JUN,MAPK3,PDGFB,PIK3R3	
RHO GTPase cycle	4.03E00	2.89E-02	-3.606	ARHGAP29,CAV1,ESYT1,MCAM,PEAK1,PIK3R3,RASGRF2,RBBP6,SH3RF1,STMN2,SWAP70,TMOD3,UACA	
EGF Signaling	4.02E00	8.93E-02	-2.236	FOS,ITPR1,JUN,MAPK3,PIK3R3	
Erythropoietin Signaling Pathway	3.98E00	4.55E-02	-2.121	CCND2,FOS,ITPR1,JUN,MAPK3,NOS3,PIK3R3,TGFB2	
HGF Signaling	3.96E00	5.3E-02	-2.000	ETS1,ETS2,FOS,ITGA1,JUN,MAPK3,PIK3R3	
Opioid Signaling Pathway	3.95E00	3.57E-02	-2.646	AP2A2,Ap2b1,CAMK1D,FOS,FOSB,GNAQ,ITPR1,MAPK3,NOS1,NOS3	
ABRA Signaling Pathway	3.95E00	6.52E-02	-2.449	EGR1,FOS,FOSB,JUNB,MEF2C,VEGFC	
Tumor Microenvironment Pathway	3.92E00	4.47E-02	-2.828	FN1,FOS,JUN,MAPK3,PDGFB,PIK3R3,TGFB2,VEGFC	
Polyamine Regulation in Colon Cancer	3.91E00	8.47E-02	-1.342	AZIN1,FOS,JUN,MAPK3,SAT1	
Role of PKR in Interferon Induction and Antiviral Response	3.87E00	5.15E-02	-1.890	ATF3,FOS,HSPA1A/HSPA1B,IFNAR1,JUN,MAPK3,PDGFB	
MAPK targets/ Nuclear events mediated by MAP kinases	3.83E00	1.21E-01	-2.000	FOS,JUN,MAPK3,MEF2C	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	3.72E00	4.17E-02	-2.828	EGR1,ETS1,FOS,JUN,MAPK3,PDGFB,PIK3R3,TGFB2	
Axonal Guidance Signaling	3.5E00	2.55E-02	NaN	ADAMTS1,ADAMTS9,EPHA4,GNAQ,ITGA1,MAPK3,NFAT5,PDGFB,PIK3R3,SEMA6A,SEMA6D,TUBB,VEGFC	
Gap Junction Signaling	3.43E00	3.08E-02	-0.632	CAV1,GJA4,GNAQ,ITPR1,LPAR6,MAPK3,P2RY2,PIK3R3,PTPRM,TUBB	
Integrin Signaling	3.42E00	3.77E-02	-2.236	CAV1,ITGA1,MAPK3,NEDD9,PDGFB,PIK3R3,TSPAN2,TSPAN5	
GDNF Family Ligand-Receptor Interactions	3.39E00	6.58E-02	-2.000	FOS,ITPR1,JUN,MAPK3,PIK3R3	
Activin Inhibin Signaling Pathway	3.34E00	3.67E-02	-2.828	CCND2,FOS,FOSB,JUN,MAPK3,PIK3R3,SOX17,TGFB2	
Signaling by NOTCH1	3.34E00	6.41E-02	-2.236	CDK8,HDAC7,HES1,JAG2,NUMB	
Nitric Oxide Signaling in the Cardiovascular System	3.33E00	5E-02	-1.633	CAV1,ITPR1,MAPK3,NOS3,PIK3R3,VEGFC	
Role of JAK family kinases in IL-6-type Cytokine Signaling	3.32E00	6.33E-02	-2.236	FOS,JUNB,MAPK3,TGFB2,VEGFC	
CXCR4 Signaling	3.31E00	4.17E-02	-2.236	EGR1,FOS,GNAQ,ITPR1,JUN,MAPK3,PIK3R3	
Renin-Angiotensin Signaling	3.31E00	4.96E-02	-2.449	FOS,GNAQ,ITPR1,JUN,MAPK3,PIK3R3	
Role of NFAT in Cardiac Hypertrophy	3.27E00	3.57E-02	-2.646	CAMK1D,GNAQ,HDAC7,ITPR1,MAPK3,MEF2C,PIK3R3,TGFB2	
Chemokine Signaling	3.27E00	6.17E-02	-2.236	CAMK1D,FOS,GNAQ,JUN,MAPK3	
JAK/STAT Signaling	3.24E00	6.1E-02	-2.236	FOS,GNAQ,JUN,MAPK3,PIK3R3	
Glioma Signaling	3.23E00	4.8E-02	-2.000	CAMK1D,CCND2,HDAC7,MAPK3,PDGFB,PIK3R3	
Estrogen Receptor Signaling	3.23E00	2.69E-02	-3.162	CAV1,CDK8,FOS,GNAQ,GPER1,HES1,JUN,MAPK3,NOS3,PIK3R3,VEGFC	
Pancreatic Adenocarcinoma Signaling	3.21E00	4.76E-02	-2.000	HBEGF,HDAC7,MAPK3,PIK3R3,TGFB2,VEGFC	
VEGF Family Ligand-Receptor Interactions	3.19E00	5.95E-02	-2.236	FOS,MAPK3,NOS3,PIK3R3,VEGFC	
Citrulline-Nitric Oxide Cycle	3.18E00	4E-01	NaN	NOS1,NOS3	
Platelet homeostasis	3.15E00	5.81E-02	-2.236	GNGT2,ITPR1,NOS1,NOS3,ORAI1	
Molecular Mechanisms of Cancer	3.15E00	1.99E-02	-4.123	CCND2,EDN1,FOS,GNAQ,GPER1,HDAC7,HES1,IFNAR1,ITGA1,JUN,LPAR6,MAPK3,P2RY2,PDGFB,PIK3R3,RASGRF2,TGFB2	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	3.12E00	3.39E-02	-1.414	FOS,FOSB,JAM2,JUN,LAMA4,MAPK3,PIK3R3,TGFB2	
Gα12/13 Signaling	3.09E00	4.51E-02	-1.633	CDH13,JUN,LPAR6,MAPK3,MEF2C,PIK3R3	
P2Y Purigenic Receptor Signaling Pathway	3.09E00	4.51E-02	-2.449	FOS,GNAQ,JUN,MAPK3,P2RY2,PIK3R3	
UVB-Induced MAPK Signaling	3.06E00	7.69E-02	-2.000	FOS,JUN,MAPK3,PIK3R3	
ERBB Signaling	2.99E00	5.38E-02	-2.236	FOS,HBEGF,JUN,MAPK3,PIK3R3	
GNRH Signaling	2.99E00	3.66E-02	-2.646	EGR1,FOS,GNAQ,HBEGF,ITPR1,JUN,MAPK3	
PIP3 activates AKT signaling	2.97E00	4.29E-02	-2.449	HBEGF,IER3,MAPK3,NR4A1,PDGFB,PIK3R3	
Non-Small Cell Lung Cancer Signaling	2.97E00	5.32E-02	NaN	CCND2,HDAC7,ITPR1,MAPK3,PIK3R3	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	2.96E00	4.26E-02	-2.449	EGR1,FN1,FOS,JUN,MAPK3,VEGFC	
CSDE1 Signaling Pathway	2.94E00	7.14E-02	-1.000	FN1,FOS,PABPC1,PABPC4	
Wound Healing Signaling Pathway	2.94E00	3.17E-02	-2.121	FN1,FOS,HBEGF,JUN,MAPK3,PDGFB,TGFB2,VEGFC	
IL-17A Signaling in Gastric Cells	2.91E00	1.15E-01	NaN	FOS,JUN,MAPK3	
Breast Cancer Regulation by Stathmin1	2.89E00	2.19E-02	-2.309	CAMK1D,CCND2,GNAQ,GPER1,JUN,LPAR6,MAPK3,P2RY2,PDGFB,PIK3R3,TGFB2,TUBB,VEGFC	
Neuropathic Pain Signaling in Dorsal Horn Neurons	2.83E00	4.95E-02	-2.236	CAMK1D,FOS,ITPR1,MAPK3,PIK3R3	
Myelination Signaling Pathway	2.8E00	2.75E-02	-2.333	FOS,HDAC7,JUN,LAMA4,MAPK3,PDGFB,PIK3R3,PLP1,RAPGEF2	
Signaling by Rho Family GTPases	2.78E00	3E-02	-2.449	CDH13,FOS,GNAQ,ITGA1,JUN,MAPK3,PIK3R3,RDX	
IL-2 Signaling	2.77E00	6.45E-02	NaN	FOS,JUN,MAPK3,PIK3R3	
IGF-1 Signaling	2.76E00	4.76E-02	-2.000	CCN1,FOS,JUN,MAPK3,PIK3R3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.75E00	2.7E-02	NaN	FN1,FOS,GNAQ,JUN,MAPK3,NFAT5,PDGFB,PIK3R3,VEGFC	
Relaxin Signaling	2.75E00	3.87E-02	-2.236	FOS,GNAQ,JUN,MAPK3,NOS3,PIK3R3	
Thrombopoietin Signaling	2.75E00	6.35E-02	-2.000	FOS,JUN,MAPK3,PIK3R3	
Cardiac Hypertrophy Signaling (Enhanced)	2.75E00	2.21E-02	-2.714	EDN1,GNAQ,HDAC7,IFNAR1,ITGA1,ITPR1,JUN,MAPK3,MEF2C,NFAT5,PIK3R3,TGFB2	
Extracellular matrix organization	2.74E00	4.72E-02	-2.236	FN1,ITGA1,LAMA4,PDGFB,TGFB2	
Telomerase Signaling	2.7E00	4.63E-02	-2.000	ETS1,ETS2,HDAC7,MAPK3,PIK3R3	
ERK/MAPK Signaling	2.69E00	3.26E-02	-2.449	ETS1,ETS2,FOS,ITGA1,MAPK3,PIK3R3,RAPGEF4	
Sleep REM Signaling Pathway	2.65E00	4.5E-02	-1.342	EGR1,FOS,MAPK3,NR4A2,TGFB2	
CD40 Signaling	2.65E00	5.97E-02	-2.000	FOS,JUN,MAPK3,PIK3R3	
Eicosanoid Signaling	2.65E00	2.86E-02	-2.828	AP1S2,EGR1,ETS1,GNAQ,MAPK3,PIK3R3,RAPGEF4,VEGFC	
Thrombin signalling through proteinase activated receptors (PARs)	2.65E00	9.38E-02	NaN	GNAQ,GNGT2,MAPK3	
Huntington's Disease Signaling	2.61E00	2.82E-02	-2.236	AP2A2,GNAQ,HDAC7,HSPA1A/HSPA1B,ITPR1,JUN,MAPK3,PIK3R3	
Oncogene Induced Senescence	2.57E00	8.82E-02	NaN	ETS1,ETS2,MAPK3	
IL-13 Signaling Pathway	2.57E00	4.31E-02	-2.236	HBEGF,JUN,MAPK3,PIK3R3,TGFB2	
HER-2 Signaling in Breast Cancer	2.56E00	3.08E-02	-2.646	ETS1,ETS2,FOS,HBEGF,JUN,MAPK3,PIK3R3	
ESR-mediated signaling	2.54E00	4.24E-02	-2.236	CXXC5,FOS,FOSB,JUN,MAPK3	
Virus Entry via Endocytic Pathways	2.54E00	4.24E-02	NaN	AP1S2,AP2A2,Ap2b1,CAV1,PIK3R3	
G alpha (q) signalling events	2.5E00	3.45E-02	-2.449	EDN1,GNAQ,GNGT2,LPAR6,P2RY2,PIK3R3	
WNT/β-catenin Signaling	2.5E00	3.45E-02	0.816	GNAQ,JUN,SOX13,SOX17,SOX4,TGFB2	
IL-12 Signaling and Production in Macrophages	2.48E00	2.98E-02	0.378	ETS2,FOS,JUN,MAPK3,NFAT5,PIK3R3,TGFB2	
IL-15 Production	2.46E00	4.07E-02	-2.236	BMX,CLK1,EPHA4,PEAK1,TEK	
Angiopoietin Signaling	2.45E00	5.26E-02	NaN	GRB14,NOS3,PIK3R3,TEK	
Notch Signaling	2.43E00	7.89E-02	NaN	HES1,JAG2,NUMB	
L1CAM interactions	2.43E00	4E-02	-2.236	AP2A2,ITGA1,MAPK3,NUMB,RDX	
Gαs Signaling	2.41E00	3.97E-02	-2.000	GNAQ,GPER1,MAPK3,RAPGEF2,RAPGEF4	
Neurotrophin/TRK Signaling	2.41E00	5.13E-02	-2.000	FOS,JUN,MAPK3,PIK3R3	
IL-7 Signaling Pathway	2.41E00	5.13E-02	-1.000	EBF1,JUN,MAPK3,PIK3R3	
14-3-3-mediated Signaling	2.4E00	3.94E-02	-2.000	FOS,JUN,MAPK3,PIK3R3,TUBB	
Sertoli Cell-Sertoli Cell Junction Signaling	2.4E00	2.88E-02	-1.890	CDH13,JAM2,JUN,LAMA4,MAPK3,PIK3R3,TUBB	
IL-3 Signaling	2.39E00	5.06E-02	-2.000	FOS,JUN,MAPK3,PIK3R3	
Thyroid Cancer Signaling	2.39E00	5.06E-02	-2.000	FOS,JUN,MAPK3,PIK3R3	
G Beta Gamma Signaling	2.37E00	3.88E-02	-2.000	CAV1,GNAQ,HBEGF,ITPR1,MAPK3	
IL-17 Signaling	2.35E00	3.21E-02	-2.449	FOS,JUN,MAPK3,PIK3R3,TGFB2,VEGFC	
fMLP Signaling in Neutrophils	2.34E00	3.82E-02	-2.000	GNAQ,ITPR1,MAPK3,NFAT5,PIK3R3	
Estrogen-Dependent Breast Cancer Signaling	2.33E00	4.88E-02	-2.000	FOS,JUN,MAPK3,PIK3R3	
BEX2 Signaling Pathway	2.33E00	4.88E-02	-2.000	JUN,LMO2,SWAP70,VEGFC	
Response to elevated platelet cytosolic Ca2+	2.33E00	3.79E-02	-2.236	CD9,FN1,PDGFB,TGFB2,VEGFC	
