© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	8.47E00	6.91E-02	NaN	CAMK2D,CSF1,CSNK1A1,FN1,FOS,GNAQ,ICAM1,IL1R1,IL6R,IL6ST,JUN,NFAT5,PDGFA,PDGFB,PLCB1,PLCB4,PRKCH,RRAS2,STAT3,TCF7L1,TNFRSF1A,VCAM1,WNT5A	
Cardiac Hypertrophy Signaling (Enhanced)	7.4E00	5.17E-02	-4.600	ADCY4,CACNA1A,CAMK2D,EDN1,GHR,GNAQ,HDAC7,IL1R1,IL6R,IL6ST,ITGA1,ITGA3,JUN,MAP3K3,NFAT5,NPR1,PLCB1,PLCB4,PRKAG2,PRKCH,PRKG1,RELB,RPS6KA5,RRAS2,STAT3,TNFRSF1A,TNFSF10,WNT5A	
Apelin Endothelial Signaling Pathway	7.31E00	9.93E-02	-2.887	ADCY4,FOS,GNAQ,ICAM1,JUN,NOS3,PLCB1,PLCB4,PRKAG2,PRKCH,RELB,RRAS2,TEK,VCAM1	
Tumor Microenvironment Pathway	6.02E00	7.82E-02	-2.496	CSF1,FN1,FOS,HLA-A,HLA-E,ICAM1,IL6R,JUN,PDGFA,PDGFB,RELB,RRAS2,STAT3,TNFRSF1A	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	5.96E00	6.78E-02	-1.500	CD2AP,EPS8,FOS,FOSB,ICAM1,IL1R1,ITGA3,JAM2,JUN,LAMA4,MAP3K3,PPP2R3A,PRKAG2,PRKG1,RRAS2,TNFRSF1A	
Acute Phase Response Signaling	5.85E00	7.57E-02	-2.714	CP,FN1,FOS,IL1R1,IL6R,IL6ST,JUN,RBP1,RELB,RRAS2,SOCS2,STAT3,TNFRSF1A,VWF	
Hepatic Fibrosis Signaling Pathway	5.42E00	4.96E-02	-3.771	CACNA1A,CSNK1A1,EDN1,FOS,ICAM1,IL1R1,ITGA1,ITGA3,JUN,PDGFA,PDGFB,PRKAG2,PRKCH,RELB,RRAS2,STAT3,TCF7L1,TFRC,TNFRSF1A,VCAM1,WNT5A	
Gap Junction Signaling	5.37E00	5.54E-02	-1.698	ADCY4,CAV1,CSNK1A1,GNAQ,NPR1,P2RY1,PLA2G4A,PLCB1,PLCB4,PRKAG2,PRKCH,PRKG1,PTPRM,RELB,RRAS2,TCF7L1,TJP2,TNFRSF1A	
Pulmonary Fibrosis Idiopathic Signaling Pathway	5.36E00	5.52E-02	-3.771	ADAM10,CAV1,EDN1,EPHB4,FN1,FOS,IL6ST,JUN,PDGFA,PDGFB,RELB,RPS6KA5,RRAS2,STAT3,STK38,TCF7L1,VIM,WNT5A	
IL-10 Signaling	5.23E00	7.79E-02	1.732	BCL3,FOS,HLA-A,HLA-E,ICAM1,IL1R1,IL6R,IL6ST,JUN,PRKAG2,RELB,STAT3	
P2Y Purigenic Receptor Signaling Pathway	5.09E00	8.27E-02	-3.162	ADCY4,FOS,GNAQ,JUN,P2RY1,PLCB1,PLCB4,PRKAG2,PRKCH,RELB,RRAS2	
GNRH Signaling	4.97E00	6.81E-02	-3.317	ADCY4,CACNA1A,CAMK2D,FOS,GNAQ,JUN,MAP3K3,PLCB1,PLCB4,PRKAG2,PRKCH,RELB,RRAS2	
