© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Termination	5.35E01	4.47E-01	6.481	FAU,RPL10,RPL11,RPL15,RPL17,RPL22,RPL23,RPL26,RPL27,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL9,RPLP2,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8	
Eukaryotic Translation Elongation	5.32E01	4.42E-01	6.481	FAU,RPL10,RPL11,RPL15,RPL17,RPL22,RPL23,RPL26,RPL27,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL9,RPLP2,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8	
Response of EIF2AK4 (GCN2) to amino acid deficiency	5.31E01	4.17E-01	6.557	EIF2AK4,FAU,RPL10,RPL11,RPL15,RPL17,RPL22,RPL23,RPL26,RPL27,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL9,RPLP2,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8	
SRP-dependent cotranslational protein targeting to membrane	5.06E01	3.74E-01	6.557	FAU,RPL10,RPL11,RPL15,RPL17,RPL22,RPL23,RPL26,RPL27,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL9,RPLP2,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8,SEC61G	
Selenoamino acid metabolism	5.05E01	3.93E-01	6.481	FAU,RPL10,RPL11,RPL15,RPL17,RPL22,RPL23,RPL26,RPL27,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL9,RPLP2,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8	
Eukaryotic Translation Initiation	4.93E01	3.52E-01	6.557	EIF4EBP1,FAU,RPL10,RPL11,RPL15,RPL17,RPL22,RPL23,RPL26,RPL27,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL9,RPLP2,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8	
Nonsense-Mediated Decay (NMD)	4.85E01	3.59E-01	6.481	FAU,RPL10,RPL11,RPL15,RPL17,RPL22,RPL23,RPL26,RPL27,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL9,RPLP2,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8	
EIF2 Signaling	4.28E01	2.09E-01	5.000	EIF2AK4,FAU,RASD1,RPL10,RPL11,RPL15,RPL17,RPL22,Rpl22l1,RPL23,RPL26,RPL27,RPL27A,RPL28,RPL30,RPL31,Rpl34 (includes others),RPL35,RPL35A,Rpl36,Rpl36a,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL9,RPLP2,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8	
Major pathway of rRNA processing in the nucleolus and cytosol	4.03E01	2.31E-01	6.557	FAU,RPL10,RPL11,RPL15,RPL17,RPL22,RPL23,RPL26,RPL27,RPL27A,RPL28,RPL30,RPL31,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL9,RPLP2,RPP21,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8	
mTOR Signaling	1.81E01	1.26E-01	2.000	DDIT4,EIF4EBP1,FAU,PPP2R2D,RASD1,RHOB,RHOC,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8	
Regulation of eIF4 and p70S6K Signaling	1.65E01	1.3E-01	NaN	EIF4EBP1,FAU,PPP2R2D,RASD1,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8	
Coronavirus Pathogenesis Pathway	1.44E01	1.13E-01	-4.379	FAU,NFKBIA,RPS10,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS6,RPS8,STAT1	
Oxidative Phosphorylation	1.41E01	1.61E-01	4.243	COX17,COX6A1,COX6B1,Cox6c,COX7A2,COX8A,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFB3,NDUFB4,UQCR10,UQCR11,UQCRB	
Electron transport, ATP synthesis, and heat production by uncoupling proteins	1.31E01	1.41E-01	4.243	COX6A1,COX6B1,COX8A,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFB3,NDUFB4,NDUFC1,NDUFC2,UCP2,UQCR10,UQCR11,UQCRB	
Granzyme A Signaling	8.46E00	1.49E-01	-3.317	HMGB2,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFB3,NDUFB4,Serpinb6b	
Mitochondrial Dysfunction	7.44E00	5.81E-02	-4.472	COX17,COX6A1,COX6B1,Cox6c,COX7A2,COX8A,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFB3,NDUFB4,TOMM7,UCP2,UQCR10,UQCR11,UQCRB	
Sirtuin Signaling Pathway	6.44E00	5.84E-02	-2.324	DUSP6,GABARAPL2,HMGCS2,NDRG1,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFB3,NDUFB4,SLC2A1,TOMM6,TOMM7,UCP2	
RHO GTPases activate CIT	5.42E00	2.63E-01	2.236	CDKN1B,MYL12B,MYL6,RHOB,RHOC	
IL-8 Signaling	4.62E00	5.71E-02	3.162	BCL2L1,CCND3,CSTB,EIF4EBP1,GNG11,GNG5,IRAK2,MYL12B,NFKBIA,RASD1,RHOB,RHOC	
