© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Glucocorticoid Receptor Signaling	4.1E00	1.54E-02	NaN	B2M,BCL2L1,CDKN1A,FKBP5,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NFKBIA,TSC22D3	
Eukaryotic Translation Termination	3.68E00	4.26E-02	2.000	RPL37,RPL38,RPS21,RPS29	
Eukaryotic Translation Elongation	3.66E00	4.21E-02	2.000	RPL37,RPL38,RPS21,RPS29	
Response of EIF2AK4 (GCN2) to amino acid deficiency	3.52E00	3.88E-02	2.000	RPL37,RPL38,RPS21,RPS29	
Selenoamino acid metabolism	3.46E00	3.74E-02	2.000	RPL37,RPL38,RPS21,RPS29	
SRP-dependent cotranslational protein targeting to membrane	3.34E00	3.48E-02	2.000	RPL37,RPL38,RPS21,RPS29	
Nonsense-Mediated Decay (NMD)	3.31E00	3.42E-02	2.000	RPL37,RPL38,RPS21,RPS29	
Eukaryotic Translation Initiation	3.25E00	3.28E-02	2.000	RPL37,RPL38,RPS21,RPS29	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	3.17E00	5.45E-02	NaN	FKBP5,HSP90AB1,HSPA1A/HSPA1B	
EIF2 Signaling	3.12E00	2.16E-02	NaN	IGF1R,RPL37,RPL38,RPS21,RPS29	
Role of PKR in Interferon Induction and Antiviral Response	3.07E00	2.94E-02	-2.000	HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NFKBIA	
Cachexia Signaling Pathway	3E00	1.63E-02	1.633	DDIT4,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,IGF1R,S1PR1	
Semaphorin interactions	2.98E00	4.69E-02	NaN	HSP90AB1,PLXNA2,SEMA7A	
IL-10 Signaling	2.87E00	2.6E-02	1.000	BCL2L1,CDKN1A,DDIT4,NFKBIA	
eNOS Signaling	2.83E00	2.53E-02	NaN	HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NOSTRIN	
Aryl Hydrocarbon Receptor Signaling	2.82E00	2.52E-02	NaN	CDKN1A,HSP90AB1,HSPB1,NFIB	
Chronic Myeloid Leukemia Signaling	2.75E00	1.79E-02	1.342	BCL2L1,CDKN1A,FZD4,HES1,HSP90AB1	
BAG2 Signaling Pathway	2.63E00	3.53E-02	NaN	CDKN1A,HSPA1A/HSPA1B,Hspa1b	
Major pathway of rRNA processing in the nucleolus and cytosol	2.57E00	2.15E-02	2.000	RPL37,RPL38,RPS21,RPS29	
Immunogenic Cell Death Signaling Pathway	2.56E00	3.33E-02	NaN	HSP90AB1,HSPA1A/HSPA1B,Hspa1b	
NOD1/2 Signaling Pathway	2.54E00	2.12E-02	1.000	HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NFKBIA	
Cellular response to heat stress	2.46E00	3.09E-02	NaN	HSP90AB1,HSPA1A/HSPA1B,HSPB1	
PI3K/AKT Signaling	2.46E00	2E-02	1.000	BCL2L1,CDKN1A,HSP90AB1,NFKBIA	
p53 Signaling	2.43E00	3E-02	NaN	BCL2L1,CDKN1A,TP53INP1	
p75 NTR receptor-mediated signalling	2.43E00	3E-02	NaN	MCF2L,NET1,NFKBIA	
HIF1α Signaling	2.37E00	1.9E-02	0.000	CDKN1A,HSPA1A/HSPA1B,Hspa1b,SLC2A1	
Interleukin-4 and Interleukin-13 signaling	2.31E00	2.73E-02	NaN	BCL2L1,CDKN1A,S1PR1	
Prostate Cancer Signaling	2.25E00	2.59E-02	NaN	CDKN1A,HSP90AB1,NFKBIA	
Osteoarthritis Pathway	2.2E00	1.69E-02	0.000	DDIT4,FZD4,HES1,TIMP3	
Ferroptosis Signaling Pathway	2.1E00	2.29E-02	NaN	ANGPTL4,CDKN1A,HSPB1	
Regulation of mRNA stability by proteins that bind AU-rich elements	2.08E00	4.55E-02	NaN	HSPA1A/HSPA1B,HSPB1	
TP53 Regulates Transcription of Cell Death Genes	2.08E00	4.55E-02	NaN	NDRG1,TP53INP1	
DNA damage-induced 14-3-3σ Signaling	2.05E00	4.35E-02	NaN	BCL2L1,CDKN1A	
Estrogen Receptor Signaling	2.04E00	1.22E-02	1.000	CDK8,CDKN1A,HES1,HSP90AB1,IGF1R	
Lactose synthesis	2.03E00	3.33E-01	NaN	SLC2A1	
TP53 Regulates Transcription of Cell Cycle Genes	1.99E00	4.08E-02	NaN	CDKN1A,RGCC	
Protein Ubiquitination Pathway	1.99E00	1.47E-02	NaN	B2M,HSP90AB1,HSPA1A/HSPA1B,HSPB1	
Transcriptional regulation by RUNX2	1.96E00	3.92E-02	NaN	CDKN1A,HES1	
PTEN Signaling	1.94E00	1.99E-02	NaN	BCL2L1,CDKN1A,IGF1R	
Huntington's Disease Signaling	1.92E00	1.4E-02	NaN	BCL2L1,HSPA1A/HSPA1B,Hspa1b,IGF1R	
NLR signaling pathways	1.88E00	3.57E-02	NaN	BCL2L1,HSP90AB1	
CD27 Signaling in Lymphocytes	1.87E00	3.51E-02	NaN	BCL2L1,NFKBIA	
Lymphotoxin β Receptor Signaling	1.87E00	3.51E-02	NaN	BCL2L1,NFKBIA	
Semaphorin Signaling in Neurons	1.81E00	3.28E-02	NaN	PLXNA2,SEMA7A	
Glioblastoma Multiforme Signaling	1.78E00	1.73E-02	NaN	CDKN1A,FZD4,IGF1R	
Aldosterone Signaling in Epithelial Cells	1.77E00	1.72E-02	NaN	HSP90AB1,HSPA1A/HSPA1B,HSPB1	
