© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
NGF-stimulated transcription	6.94E00	1.28E-01	-2.000	FOS,FOSB,ID2,ID3,JUND	
Interleukin-4 and Interleukin-13 signaling	4.68E00	4.55E-02	-2.236	FOS,MAOA,PTGS2,VCAM1,VIM	
Clathrin-mediated Endocytosis Signaling	4.39E00	2.87E-02	NaN	APOE,CLTB,DAB2,DNM3,RAB11A,TFRC	
Integrin cell surface interactions	3.89E00	4.71E-02	-2.000	BSG,KDR,VCAM1,VWF	
MIF Regulation of Innate Immunity	3.5E00	6.82E-02	NaN	FOS,PLA2G4A,PTGS2	
IL-8 Signaling	3.34E00	2.36E-02	-2.236	FOS,KDR,PTGS2,TEK,VCAM1	
Clathrin-mediated endocytosis	3.19E00	3.08E-02	-2.000	CLTB,DAB2,DNM3,TFRC	
trans-Golgi Network Vesicle Budding	2.83E00	4.05E-02	NaN	CLTB,FTH1,TFRC	
VEGF Family Ligand-Receptor Interactions	2.65E00	3.49E-02	NaN	FOS,KDR,PLA2G4A	
ABRA Signaling Pathway	2.56E00	3.26E-02	NaN	FOS,FOSB,JUND	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	2.55E00	2.06E-02	-1.000	ETS1,FOS,ID2,VIM	
Sumoylation Pathway	2.42E00	2.91E-02	NaN	ETS1,FOS,SUMO2	
Cargo recognition for clathrin-mediated endocytosis	2.38E00	2.8E-02	NaN	CLTB,DAB2,TFRC	
Post-translational protein phosphorylation	2.38E00	2.8E-02	NaN	APOE,CST3,VWA1	
Gap junction trafficking and regulation	2.32E00	5.88E-02	NaN	CLTB,DAB2	
Transcriptional Regulation by NPAS4	2.3E00	5.71E-02	NaN	FOS,NAMPT	
MIF-mediated Glucocorticoid Regulation	2.28E00	5.56E-02	NaN	PLA2G4A,PTGS2	
ESR-mediated signaling	2.26E00	2.54E-02	NaN	FOS,FOSB,JUND	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	2.23E00	1.68E-02	0.000	CLDN5,FOS,FOSB,LAMA4	
NRF2-mediated Oxidative Stress Response	2.23E00	1.67E-02	-1.000	FOS,FTH1,JUND,PPIB	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	2.2E00	2.42E-02	NaN	APOE,CST3,VWA1	
Ferroptosis Signaling Pathway	2.13E00	2.29E-02	NaN	FTH1,NCOA4,TFRC	
Atherosclerosis Signaling	2.12E00	2.26E-02	NaN	APOE,PLA2G4A,VCAM1	
LPS/IL-1 Mediated Inhibition of RXR Function	2.12E00	1.56E-02	NaN	ALAS1,APOE,HS3ST1,MAOA	
Sperm Motility	2.12E00	1.56E-02	NaN	KDR,PDE4B,PLA2G4A,TEK	
HGF Signaling	2.11E00	2.24E-02	NaN	ETS1,FOS,PTGS2	
Arachidonic acid metabolism	2.09E00	4.44E-02	NaN	PLA2G4A,PTGS2	
MSP-RON Signaling in Cancer Cells Pathway	2.04E00	2.11E-02	NaN	ETS1,FOS,VIM	
Hepatic Fibrosis Signaling Pathway	2.04E00	1.18E-02	-2.236	FOS,FTH1,KDR,TFRC,VCAM1	
Apelin Endothelial Signaling Pathway	2.03E00	2.1E-02	NaN	FOS,TEK,VCAM1	
Corticotropin Releasing Hormone Signaling	1.96E00	1.97E-02	NaN	FOS,JUND,PTGS2	
Melatonin Degradation II	1.92E00	2.5E-01	NaN	MAOA	
CSDE1 Signaling Pathway	1.9E00	3.57E-02	NaN	FOS,VIM	
Iron uptake and transport	1.88E00	3.45E-02	NaN	FTH1,TFRC	
Serotonin Receptor Signaling	1.86E00	1.06E-02	-2.236	MAOA,ORAI1,PLA2G4A,PTGS2,VWF	
Tetrapyrrole Biosynthesis II	1.82E00	2E-01	NaN	ALAS1	
Neuroinflammation Signaling Pathway	1.8E00	1.25E-02	0.000	FOS,PLA2G4A,PTGS2,VCAM1	
Protein Sorting Signaling Pathway	1.78E00	1.69E-02	NaN	CLTB,RAB11A,SNX3	
NAD Biosynthesis III	1.75E00	1.67E-01	NaN	NAMPT	
CD40 Signaling	1.73E00	2.9E-02	NaN	FOS,PTGS2	
Eicosanoid Signaling	1.72E00	2.86E-02	NaN	PLA2G4A,PTGS2	
IL-33 Signaling Pathway	1.72E00	1.6E-02	NaN	FOS,PTGS2,VCAM1	
Amyloid fiber formation	1.69E00	2.74E-02	NaN	APOE,CST3	
Endothelin-1 Signaling	1.67E00	1.53E-02	NaN	FOS,PLA2G4A,PTGS2	
ILK Signaling	1.63E00	1.49E-02	NaN	FOS,PTGS2,VIM	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.62E00	2.53E-02	NaN	PLA2G4A,PTGS2	
Renal Cell Carcinoma Signaling	1.6E00	2.47E-02	NaN	ETS1,FOS	
Role of Tissue Factor in Cancer	1.59E00	1.44E-02	NaN	FOS,KDR,PTGS2	
Transport of bile salts and organic acids, metal ions and amine compounds	1.58E00	2.41E-02	NaN	BSG,SLC6A6	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.57E00	2.38E-02	NaN	PLA2G4A,PTGS2	
Sphingosine and Sphingosine-1-phosphate Metabolism	1.57E00	1.11E-01	NaN	SGPP2	
Heme Biosynthesis II	1.57E00	1.11E-01	NaN	ALAS1	
Platelet homeostasis	1.55E00	2.33E-02	NaN	ORAI1,PLA2G4A	
ERK/MAPK Signaling	1.55E00	1.38E-02	NaN	ETS1,FOS,PLA2G4A	
IL-17A Signaling in Fibroblasts	1.54E00	2.3E-02	NaN	FOS,VCAM1	
Activin Inhibin Signaling Pathway	1.54E00	1.37E-02	NaN	FOS,FOSB,PTGS2	
Neurotransmitter clearance	1.53E00	1E-01	NaN	MAOA	
