© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Termination	1.11E01	8.51E-02	2.828	RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Eukaryotic Translation Elongation	1.1E01	8.42E-02	2.828	RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Response of EIF2AK4 (GCN2) to amino acid deficiency	1.07E01	7.77E-02	2.828	RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Selenoamino acid metabolism	1.06E01	7.48E-02	2.828	RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
SRP-dependent cotranslational protein targeting to membrane	1.03E01	6.96E-02	2.828	RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Nonsense-Mediated Decay (NMD)	1.03E01	6.84E-02	2.828	RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Eukaryotic Translation Initiation	1.01E01	6.56E-02	2.828	RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
EIF2 Signaling	9.34E00	3.9E-02	2.236	Rpl36,RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Major pathway of rRNA processing in the nucleolus and cytosol	8.67E00	4.3E-02	2.828	RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Glucocorticoid Receptor Signaling	5.88E00	1.54E-02	NaN	B2M,BCL2L1,CDKN1A,FKBP5,HSP90AA1,HSP90AB1,Hspa1b,NFKBIA,TSC22D3	
PI3K/AKT Signaling	4.42E00	2.5E-02	1.342	BCL2L1,CDKN1A,HSP90AA1,HSP90AB1,NFKBIA	
Interleukin-4 and Interleukin-13 signaling	4.24E00	3.64E-02	2.000	BCL2L1,CDKN1A,HSP90AA1,S1PR1	
Cachexia Signaling Pathway	4.17E00	1.63E-02	2.449	DDIT4,HSP90AA1,HSP90AB1,Hspa1b,IGFBP3,S1PR1	
Prostate Cancer Signaling	4.15E00	3.45E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,NFKBIA	
Role of PKR in Interferon Induction and Antiviral Response	3.89E00	2.94E-02	-2.000	HSP90AA1,HSP90AB1,Hspa1b,NFKBIA	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	3.8E00	5.45E-02	NaN	FKBP5,HSP90AA1,HSP90AB1	
NLR signaling pathways	3.78E00	5.36E-02	NaN	BCL2L1,HSP90AB1,TXNIP	
IL-10 Signaling	3.68E00	2.6E-02	1.000	BCL2L1,CDKN1A,DDIT4,NFKBIA	
Aryl Hydrocarbon Receptor Signaling	3.63E00	2.52E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,HSPB1	
Semaphorin interactions	3.61E00	4.69E-02	NaN	HSP90AA1,HSP90AB1,PLXNA2	
Hypoxia Signaling in the Cardiovascular System	3.39E00	3.95E-02	NaN	HSP90AA1,HSP90AB1,NFKBIA	
NOD1/2 Signaling Pathway	3.34E00	2.12E-02	1.000	HSP90AA1,HSP90AB1,Hspa1b,NFKBIA	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	3.34E00	3.8E-02	NaN	HSP90AA1,HSP90AB1,NFKBIA	
Role of JAK family kinases in IL-6-type Cytokine Signaling	3.34E00	3.8E-02	NaN	BCL2L1,HSP90AA1,HSP90AB1	
PPARα/RXRα Activation	3.3E00	2.06E-02	NaN	ADIPOR2,HSP90AA1,HSP90AB1,NFKBIA	
BAG2 Signaling Pathway	3.24E00	3.53E-02	NaN	CDKN1A,HSP90AA1,Hspa1b	
Coronavirus Pathogenesis Pathway	3.22E00	1.96E-02	-1.000	NFKBIA,RPS21,RPS28,RPS29	
Immunogenic Cell Death Signaling Pathway	3.17E00	3.33E-02	NaN	HSP90AA1,HSP90AB1,Hspa1b	
HIF1α Signaling	3.16E00	1.9E-02	1.000	CDKN1A,HSP90AA1,Hspa1b,SLC2A1	
mTOR Signaling	3.14E00	1.87E-02	NaN	DDIT4,RPS21,RPS28,RPS29	
Chaperone Mediated Autophagy	3.1E00	9.09E-02	NaN	HSP90AA1,HSP90AB1	
Cellular response to heat stress	3.08E00	3.09E-02	NaN	HSP90AA1,HSP90AB1,HSPB1	
PPAR Signaling	2.95E00	2.8E-02	NaN	HSP90AA1,HSP90AB1,NFKBIA	
Telomerase Signaling	2.92E00	2.73E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1	
ESR-mediated signaling	2.83E00	2.54E-02	NaN	FKBP5,HSP90AA1,HSP90AB1	
Protein Ubiquitination Pathway	2.75E00	1.47E-02	NaN	B2M,HSP90AA1,HSP90AB1,HSPB1	
Chronic Myeloid Leukemia Signaling	2.71E00	1.43E-02	1.000	BCL2L1,CDKN1A,HSP90AA1,HSP90AB1	
Ferroptosis Signaling Pathway	2.7E00	2.29E-02	NaN	ANGPTL4,CDKN1A,HSPB1	
Oncostatin M Signaling	2.52E00	4.65E-02	NaN	EPAS1,TIMP3	
eNOS Signaling	2.47E00	1.9E-02	NaN	HSP90AA1,HSP90AB1,Hspa1b	
DNA damage-induced 14-3-3σ Signaling	2.46E00	4.35E-02	NaN	BCL2L1,CDKN1A	
Aldosterone Signaling in Epithelial Cells	2.35E00	1.72E-02	NaN	HSP90AA1,HSP90AB1,HSPB1	
